2041;id;scenario;sensetivity;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;SMR_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;PtH_PROD_CN_base_2030;PtH_PROD_CN_peak_2030;PtH_CAP_CN_base_2030;PtH_CAP_CN_peak_2030;PS_cost;H2S_cost;Ind_cost;PS_cost_diff;H2S_cost_diff;Ind_cost_diff
REF;1;1;ref;96.596;73.408;12.363;69.871;180.270;66.027;105.004;4.130;104.083;104.092;1698.411;756.947;93.358;0.000;0.000;36093.084;9291.460;3512.213;2014.087;6823.588;4187.399;404.803;0.000;0.000;0.000;0.000;57734.432;57734.432;8591.256976;49143.175;0;0;0;0;0;0;5927;2575;4.773;2.280;2.658;2.922;5056.463;78.593;864.467;0;0;0
FP;2;3;ref;94.682;90.580;7.894;72.513;166.824;65.451;107.534;2.427;104.154;103.631;-0.945;9.642;0.330;0.000;0.000;676.193;736.165;-91.063;4.381;10.147;4187.399;401.723;-37.321;17.937;19.398;0.014;1335.824;59070.256;9445.483144;49624.773;854.2261673;6113.64718;481.5976086;49624.7731;2490.450108;47134.32299;5214;3963;76.588;73.412;48.475;61.124;5065.654;84.852;863.071;9.19139;6.25894;-1.39563
CfD;3;4;ref;98.490;89.583;5.553;73.194;165.675;65.002;108.171;1.547;104.059;103.791;-1.207;10.931;0.701;0.000;0.000;682.229;931.730;-98.711;0.376;-34.106;4187.399;401.694;-40.563;20.992;19.589;0.018;1481.518;59215.951;9570.145224;49645.805;978.8882478;6206.396625;502.6298053;49645.80529;2490.450108;47155.35518;5273;3734;76.742;73.258;48.025;64.745;5069.978;84.851;863.058;13.51466;6.25822;-1.40923
CG;4;5;ref;94.803;90.925;7.889;72.537;166.291;65.402;107.676;2.427;104.153;103.750;-0.476;9.941;0.198;0.000;0.000;702.118;760.159;-96.193;4.250;5.524;4187.399;401.291;-40.294;18.157;22.121;-0.016;1375.859;59110.291;9470.152691;49640.139;878.8957153;6129.020831;496.9632255;49640.13871;2490.450108;47149.6886;5227;3996;76.710;73.278;48.426;60.518;5066.748;84.761;862.876;10.28529;6.16788;-1.59084
TD;5;6;ref;94.983;88.083;7.932;72.353;169.010;67.683;104.732;2.427;104.171;103.623;2.741;4.597;0.187;0.000;0.000;545.918;724.916;-58.242;1.713;21.838;4187.399;403.054;-27.273;16.529;10.793;0.049;1236.144;58970.577;9322.342729;49648.234;731.0857529;6041.182556;505.0584242;49648.23391;2490.450108;47157.7838;4999;3849;76.817;73.175;50.706;62.731;5064.473;85.371;863.688;8.0106;6.77778;-0.77878
REF;15;1;low-natural-gas-price;42.176;78.130;111.665;98.259;102.306;41.874;102.002;46.290;104.515;104.546;-30.643;-119.525;4.860;0.000;0.000;-2352.542;-1111.857;2079.969;-1111.926;188.693;4187.399;473.457;0.000;0.000;0.000;0.000;-2307.664;-2307.664;6285.430979;-8593.095;-2305.825997;3970.088379;;-8593.095126;2490.450108;-11083.54523;5044;3612;0.000;0.000;0.000;0.000;4960.182;83.397;897.926;0;0;0
FP;16;3;low-natural-gas-price;76.883;83.672;72.734;106.345;92.852;52.611;99.449;32.765;103.571;102.469;-37.732;-68.035;5.249;0.000;0.000;-1103.550;200.357;1731.185;-1107.839;168.142;4187.399;452.095;-152.358;18.226;133.802;-0.330;-111.7;57622.728;8226.434871;49396.293;-364.8221056;5298.308212;253.1172362;49396.29272;2490.450108;46905.84262;4834;3432;76.796;73.204;52.421;70.398;4979.480;87.699;887.076;19.29831;4.3026;-10.8507
CfD;17;4;low-natural-gas-price;76.837;85.382;70.148;105.942;94.251;51.715;97.429;32.853;103.649;103.132;-35.976;-90.702;5.924;0.000;0.000;-1240.743;469.549;1747.403;-1108.630;116.700;4187.399;453.095;-140.662;12.277;128.096;-0.289;-15.7;57718.711;8318.32174;49400.390;-272.9352367;5353.22372;257.2141504;49400.38964;2490.450108;46909.93953;4917;3430;76.724;73.276;51.492;70.509;4982.366;86.748;887.532;22.18384;3.35168;-10.39475
CG;18;5;low-natural-gas-price;77.056;83.800;72.605;106.317;92.760;52.644;99.970;32.699;103.570;102.144;-38.674;-64.471;6.140;0.000;0.000;-1091.607;210.882;1724.766;-1108.482;166.793;4187.399;451.785;-154.207;17.762;136.187;-0.258;-97.6;57636.784;8241.657203;49395.127;-349.5997729;5308.260178;251.9515698;49395.12706;2490.450108;46904.67695;4843;3458;76.969;73.011;52.444;69.678;4979.081;87.608;886.888;18.89918;4.211;-11.0386
TD;19;6;low-natural-gas-price;78.249;76.348;73.346;107.802;96.694;87.555;94.172;32.538;103.426;102.593;-36.434;-21.132;7.459;0.000;0.000;-1485.140;115.355;1907.498;-1114.054;203.694;4187.399;464.611;-83.118;27.952;55.161;-0.005;-372.6;57361.785;7888.044514;49473.740;-703.2124623;5101.716063;330.5649079;49473.7404;2490.450108;46983.29029;2949;2671;78.167;71.825;87.473;88.733;4995.081;101.798;893.399;34.89913;18.40162;-4.52712
