2041;id;scenario;sensetivity;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;SMR_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;PtH_PROD_CN_base_2030;PtH_PROD_CN_peak_2030;PtH_CAP_CN_base_2030;PtH_CAP_CN_peak_2030;PS_cost;H2S_cost;Ind_cost;PS_cost_diff;H2S_cost_diff;Ind_cost_diff
FP;1;3;ref;94.682;90.580;7.894;72.513;166.824;65.451;107.534;2.427;104.154;103.631;1697.466;766.589;93.689;0.000;0.000;36769.278;10027.625;3421.150;2018.468;6833.736;4187.399;401.723;-37.321;17.937;19.398;0.014;59070.256;59070.256;9445.483144;49624.773;0;0;0;0;0;0;5214;3963;76.588;73.412;48.475;61.124;5065.654;84.852;863.071;9.19139;6.25894;-1.39563
FP_fix;2;10;ref;100.814;89.660;4.998;72.957;164.086;66.009;107.392;1.400;104.090;103.801;0.913;1.195;0.239;0.000;0.000;-62.314;360.146;20.989;-6.496;-60.468;4187.399;402.503;-32.518;18.166;14.402;0.049;251.857;59322.113;9683.927191;49638.186;238.4440471;6285.620778;13.41286886;49638.18596;2490.450108;47147.73586;5164;3549;76.729;73.271;49.033;68.129;5067.079;85.690;863.429;10.61622;7.09688;-1.03747
FP_3000;3;7;ref;98.991;88.376;7.879;72.536;164.712;89.467;98.582;2.427;104.263;103.955;-8.357;37.312;0.807;0.000;0.000;-360.537;142.610;79.783;-1.909;21.297;4187.399;406.868;-4.648;17.981;-13.149;0.184;-118.756;58951.500;9527.354432;49424.146;81.87128891;6183.082236;-200.6274182;49424.14568;2490.450108;46933.69557;3344;3000;75.813;74.187;74.806;81.606;5065.270;95.742;865.417;8.80678;17.14885;0.95048
FP_4000;4;8;ref;97.823;87.121;7.893;72.457;167.149;79.005;94.515;2.427;104.281;103.603;-2.046;-5.637;0.152;0.000;0.000;-191.690;50.215;31.798;-3.659;11.393;4187.399;403.214;-27.161;17.416;9.815;0.070;-101.943;58968.314;9403.324701;49564.989;-42.15844239;6103.162153;-59.78416271;49564.98893;2490.450108;47074.53883;4000;4000;76.351;73.649;62.989;60.761;5063.839;88.114;863.758;7.37659;9.52091;-0.70832
FP_5000;5;9;ref;94.776;90.379;7.898;72.461;166.926;67.509;105.307;2.427;104.188;103.468;0.041;-2.660;0.608;0.000;0.000;-28.002;13.643;2.243;-1.291;1.070;4187.399;401.823;-36.302;17.482;18.783;-0.037;-12.336;59057.920;9438.886568;49619.033;-6.59657528;6110.135244;-5.739920388;49619.03318;2490.450108;47128.58307;5000;4058;76.564;73.436;50.532;59.716;5065.627;85.211;863.115;9.16381;6.61742;-1.35144
FP;15;3;low-natural-gas-price;76.883;83.672;72.734;106.345;92.852;52.611;99.449;32.765;103.571;102.469;-36.787;-77.677;4.919;0.000;0.000;-1779.744;-535.808;1822.248;-1112.219;157.994;4187.399;452.095;-152.358;18.226;133.802;-0.330;-1447.529;57622.728;8226.434871;49396.293;-1219.048273;5298.308212;-228.4803724;49396.29272;2491.450108;46904.84262;4834;3432;76.796;73.204;52.421;70.398;4979.480;87.699;887.076;19.29831;4.3026;-10.8507
FP_fix;16;10;low-natural-gas-price;75.452;87.479;69.976;105.103;94.533;49.936;99.714;33.243;103.748;103.344;-37.832;-96.781;6.836;0.000;0.000;-1915.526;-341.309;1883.442;-1114.039;103.602;4187.399;455.438;-118.386;4.759;113.281;-0.346;-1383.8;57686.426;8368.40434;49318.021;-1077.078804;5376.745921;-306.7518368;49318.02126;2490.450108;46827.57115;5005;3422;75.331;74.669;49.671;72.013;4977.639;86.749;888.713;17.45726;3.35198;-9.21366
FP_3000;17;7;low-natural-gas-price;74.837;82.573;72.549;107.031;95.495;82.307;91.232;32.400;102.894;103.940;-46.948;-38.668;7.277;0.000;0.000;-2021.428;-658.111;1923.155;-1116.546;198.621;4187.399;460.466;-103.369;21.566;81.535;-0.268;-1674.3;57395.946;8069.535085;49326.411;-1375.948059;5194.523243;-298.3616868;49326.41141;2490.450108;46835.9613;3000;3000;74.732;75.268;82.205;82.795;4971.662;99.261;891.264;11.47967;15.86477;-6.66296
FP_4000;18;8;low-natural-gas-price;75.262;84.039;73.092;106.483;93.595;62.126;89.963;32.602;103.645;103.014;-40.392;-84.015;6.583;0.000;0.000;-1839.115;-614.676;1826.029;-1113.959;159.062;4187.399;453.178;-146.702;19.371;127.093;-0.238;-1582.7;57487.597;8170.213321;49317.383;-1275.269823;5256.934097;-307.3897682;49317.38333;2490.450108;46826.93322;4000;3857;75.180;74.820;62.023;64.009;4968.505;89.023;887.610;8.32303;5.6268;-10.31629
FP_5000;19;9;low-natural-gas-price;75.526;84.953;72.879;106.336;92.739;51.482;99.382;32.982;103.621;102.989;-39.401;-82.051;5.941;0.000;0.000;-1743.747;-621.522;1812.541;-1115.308;158.984;4187.399;451.946;-154.346;18.692;135.439;-0.216;-1509.1;57561.205;8232.944816;49328.260;-1212.538327;5295.819596;-296.5130865;49328.26001;2490.450108;46837.8099;4855;3446;75.438;74.562;51.274;71.399;4970.256;87.644;886.947;10.07386;4.24686;-10.9798
FP;21;3;cheap-import;76.883;83.672;72.734;106.345;92.852;52.611;99.449;32.765;103.571;102.469;-36.787;-77.677;4.919;0.000;0.000;-1779.744;-535.808;1822.248;-1112.219;157.994;4187.399;452.095;-152.358;18.226;133.802;-0.330;-1447.5;-1447.529;8226.434871;-9673.964;-1219.048273;5298.308212;;-9673.963516;2490.450108;-12164.41362;4834;3432;76.796;73.204;52.421;70.398;5017.843;78.956;859.265;16.55187;6.70768;-3.50121
FP_fix;22;10;cheap-import;92.897;89.558;1.819;60.436;187.806;61.602;97.916;0.350;104.512;103.938;-17.924;-42.614;3.304;0.000;0.000;-361.668;98.664;100.748;4.737;-60.756;4187.399;394.670;-51.098;11.213;40.364;0.479;-218.3;58851.981;9305.108003;49546.873;-140.3751409;6021.007423;-77.899702;49546.87339;2490.450108;47056.42329;5143;3522;74.442;75.558;47.765;70.799;5017.463;80.749;859.893;16.17239;8.49996;-2.87284
FP_3000;23;7;cheap-import;86.775;91.563;3.010;60.190;190.928;89.282;101.132;0.700;104.051;104.259;-28.779;27.757;3.369;0.000;0.000;-551.950;-125.000;163.063;10.935;47.769;4187.399;399.097;-21.860;10.325;12.110;0.575;-455.2;58615.073;9126.806175;49488.267;-318.6769681;5885.166454;-136.5064119;49488.26668;2490.450108;46997.81658;3000;3000;73.495;76.505;80.845;84.155;5021.634;93.300;861.896;20.34272;21.05142;-0.86975
FP_4000;24;8;cheap-import;86.181;89.483;3.015;60.249;193.469;70.450;90.469;0.700;104.602;103.915;-18.333;-43.161;3.095;0.000;0.000;-481.831;-210.611;120.580;7.189;15.780;4187.399;396.241;-40.556;10.965;30.089;0.498;-548.9;58521.363;8984.411158;49536.952;-461.0719854;5796.92948;-87.82103848;49536.95206;2490.450108;47046.50195;4000;4000;74.063;75.937;61.102;62.648;5015.271;81.768;860.618;13.98018;9.51972;-2.1477
FP_5000;25;9;cheap-import;84.605;92.460;3.026;60.409;191.898;58.532;102.409;0.700;104.471;103.823;-22.942;-33.550;3.823;0.000;0.000;-302.659;-240.800;73.922;7.305;1.900;4187.399;393.562;-58.926;12.430;47.001;0.506;-460.3;58609.924;9073.856636;49536.067;-371.6265076;5843.168044;-88.70573241;49536.06736;2490.450108;47045.61726;5000;3878;74.300;75.700;49.038;64.417;5015.814;79.194;859.424;14.52257;6.94572;-3.3426
FP;29;3;expensive-import;99.925;96.324;27.761;94.979;113.389;65.315;122.109;11.223;104.900;103.121;35.500;51.893;-1.577;0.000;0.000;465.563;377.914;-111.299;-25.223;-50.523;4187.399;422.049;-9.977;9.876;-0.654;-0.755;656.4;656.431;10008.56136;-9352.130;563.0782148;6476.211779;;-9352.130406;2490.450108;-11842.58051;5383;4138;78.854;71.146;48.339;56.733;5168.635;93.898;872.440;-10.27465;4.76549;0.05284
FP_fix;30;10;expensive-import;106.226;94.492;22.654;95.804;113.381;69.877;118.508;8.816;105.000;103.226;37.030;54.123;-1.801;0.000;0.000;368.602;711.642;-99.517;-24.292;-94.449;4187.399;422.312;-8.219;9.839;-2.128;-0.507;862.0;59932.242;10204.86804;49727.374;759.3848969;6623.702777;102.6007414;49727.37384;2490.450108;47236.92373;5028;3711;78.803;71.197;51.724;63.310;5170.661;94.925;872.550;-8.24853;5.79192;0.16338
FP_3000;31;7;expensive-import;108.176;92.036;26.986;95.281;109.976;94.274;101.215;10.961;105.278;103.517;19.943;64.915;-0.522;0.000;0.000;34.596;652.648;-41.938;-31.315;-49.552;4187.399;426.460;16.606;11.298;-28.519;-0.615;564.4;59634.696;10161.71006;49472.986;716.2269184;6607.000069;-151.7873343;49472.98576;2490.450108;46982.53565;3383;3000;78.565;71.435;76.630;78.579;5163.421;104.784;874.535;-15.48864;15.65117;2.14796
FP_4000;32;8;expensive-import;105.494;92.398;26.909;95.017;112.547;81.861;105.189;10.887;105.204;103.341;31.664;46.889;-1.523;0.000;0.000;127.076;543.904;-68.230;-29.220;-31.434;4187.399;424.212;4.976;8.877;-14.339;-0.486;542.1;59612.353;10055.20579;49557.147;609.7226457;6530.452345;-67.62631071;49557.14679;2490.450108;47066.69668;4000;4000;78.648;71.352;64.885;58.865;5163.594;98.095;873.467;-15.31613;8.96236;1.07992
FP_5000;33;9;expensive-import;100.220;95.380;27.820;94.851;114.071;68.999;118.247;11.223;104.888;102.928;33.174;50.812;-1.393;0.000;0.000;353.313;396.532;-96.494;-24.215;-32.975;4187.399;422.939;-3.079;8.746;-6.529;-0.863;596.2;59666.417;9970.540318;49695.876;525.0571747;6454.788973;71.10322428;49695.87632;2490.450108;47205.42621;5000;4289;78.822;71.178;52.022;54.764;5167.124;94.588;872.879;-11.78596;5.4552;0.49186
FP;35;3;no-buildout-limits;77.266;116.515;24.753;56.457;157.468;52.566;116.771;7.000;103.193;102.572;-24.201;-2.625;3.518;0.000;0.000;267.650;215.942;-157.365;9.635;222.933;4187.399;376.947;-48.350;36.510;12.219;0.379;558.8;558.795;10050.86367;-9492.069;605.380524;6394.770744;;-9492.069094;2490.450108;-11982.5192;5157;3917;76.608;73.392;49.021;61.833;5044.608;96.215;852.175;21.1109;2.06566;-0.83363
