2030;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak
REF;1;1;ref;2.54;2.399;0.000;0.000;0.000;2.616;3.182;5.436;1.282;9.938;21.113;52.146;7.163;83.978;103.502;1075.122;442.664;98.147;23.072;47.088;1927.534;489.954;169.620;4.588;347.725;155.884;404.335;3587.231;511.512;15167.099;19265.842;2939.422;2939.422;448.9718903;2490.450;0;0;0;0;0;0;4974;3440
CT;2;22;ref;2.27;2.400;0.000;0.000;0.000;2.386;5.015;4.954;1.072;8.797;36.480;68.492;7.163;82.868;103.458;15.495;24.001;-0.181;0.000;0.000;49.233;20.805;-9.755;-1.021;12.416;155.812;404.174;-12.113;-0.561;12.674;0.000;71.677;3011.099;508.880581;2502.219;59.90869068;328.9689704;11.76848345;2502.218591;2490.450108;11.76848345;4536;2387
QT;3;76;ref;2.13;2.400;1.280;0.000;0.000;2.295;5.296;4.704;1.120;8.714;34.919;46.829;7.163;82.654;103.465;52.323;18.637;-0.029;0.000;0.000;79.288;14.375;-24.835;-2.617;-6.769;155.356;402.971;-10.794;0.909;9.753;-0.132;59.442;2998.864;508.3647313;2490.499;59.39284102;329.9848178;0.049206691;2490.499315;2490.450108;0.049206691;5005;3315
FP;4;176;ref;2.13;2.400;0.000;0.213;0.000;2.296;5.265;4.736;1.120;8.717;35.091;46.607;7.163;82.686;103.508;52.717;18.357;-0.035;0.000;0.000;83.339;13.523;-24.968;-2.628;-6.937;156.014;404.686;-13.995;-0.578;14.617;0.043;62.329;3001.751;508.7082595;2493.043;59.73636923;330.04672;2.592512937;2493.042621;2490.450108;2.592512937;4952;3353
CfD;5;226;ref;2.13;2.400;0.000;0.000;2.647;2.296;5.276;4.721;1.122;8.718;35.157;46.208;7.163;82.696;103.510;54.311;17.462;-0.037;0.000;0.000;84.943;12.632;-25.529;-2.680;-7.783;155.984;404.610;-14.146;-0.598;14.762;0.019;61.582;3001.004;508.42295;2492.581;59.4510597;329.9282292;2.130542452;2492.58065;2490.450108;2.130542452;4953;3372
REF;15;1;cheap-PtH;2.43;2.282;0.000;0.000;0.000;2.538;5.534;3.378;1.195;9.715;38.786;36.580;6.773;84.010;103.229;1074.625;441.685;98.196;23.072;47.088;1927.048;488.022;169.970;4.626;347.449;154.993;402.044;3568.302;495.265;15202.078;19265.645;2937.116;2937.116;446.6502199;2490.466;-2.321670419;294.0769394;;2490.46569;2490.450108;0.015581688;4708;3047
CT;16;22;cheap-PtH;2.26;2.3;0.000;0.000;0.000;2.378;6.9;3.3;0.8;8.7;55.6;49.4;5.5;82.8;103.2;11.1;33.5;-0.1;0.0;0.0;33.0;27.8;-8.9;-0.8;12.0;155.0;401.9;-14.099;7.646;6.432;0;63.1;3002.487;509.2115593;2493.276;60.23966896;338.2016733;2.825508579;2493.275617;2490.450108;2.825508579;4115;2217
QT;17;76;cheap-PtH;2.20;2.3;0.810;0.000;0.000;2.344;7.0;3.0;0.9;8.9;49.8;34.8;6.0;82.6;103.2;35.4;18.8;0.0;0.0;0.0;58.5;14.6;-17.8;-1.9;-1.0;154.6;401.0;-10.724;4.904;5.820;0;52.4;2991.838;494.9472936;2496.891;45.97540331;329.9991008;6.440709737;2496.890818;2490.450108;6.440709737;4642;2842
FP;18;176;cheap-PtH;2.20;2.3;0.000;0.125;0.000;2.343;6.9;3.1;0.9;8.9;50.0;34.6;6.0;82.5;103.2;35.1;19.0;0.1;0.0;0.0;56.7;13.1;-17.7;-1.9;-0.9;154.4;400.5;-10.295;5.416;4.774;0;49.3;2988.733;495.9032906;2492.830;46.93140027;330.0321327;2.379812978;2492.829921;2490.450108;2.379812978;4550;2964
CfD;19;226;cheap-PtH;2.20;2.3;0.000;0.000;2.508;2.343;6.9;3.1;0.9;8.9;50.1;34.6;6.0;82.5;103.2;35.1;18.9;0.1;0.0;0.0;56.2;13.5;-17.7;-1.9;-0.9;154.4;400.5;-10.265;5.434;4.722;0;49.2;2988.659;495.8171675;2492.841;46.84527713;330.0247442;2.39132723;2492.841435;2490.450108;2.39132723;4548;2960
