2030;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak
REF;1;2;ref;2.60;2.556;0.000;0.000;0.000;2.654;2.959;4.397;0.774;10.419;20.582;45.972;3.663;82.474;99.358;1012.498;0.000;105.196;23.072;47.088;1835.029;476.407;129.541;78.676;352.147;108.298;280.884;4159.818;739.480;14365.095;19264.393;2871.800;2871.800;381.2963866;2490.504;0;0;0;0;0;0;4744;3156
CT;2;22;ref;2.31;2.559;0.000;0.000;0.000;2.419;5.826;3.548;0.606;9.088;42.826;61.860;3.413;82.098;99.319;21.661;484.130;-1.033;0.000;0.000;63.018;49.662;-13.078;-4.759;9.677;107.424;278.700;-16.232;-8.153;24.400;0.015;104.520;2976.320;469.8008904;2506.520;88.50450379;309.3448911;16.01553056;2506.51959;2490.450108;16.06948207;4489;1893
QT;3;76;ref;2.07;2.551;1.679;0.000;0.000;2.252;6.126;3.874;0.573;8.584;43.480;40.756;3.341;79.335;99.400;86.204;479.709;1.568;0.000;0.000;134.860;43.305;-35.401;-14.714;-6.792;106.781;277.374;-29.281;-10.014;31.224;-8.070;121.258;2993.058;501.862631;2491.196;120.5662444;329.9994473;0.691743422;2491.195803;2490.450108;0.745694934;4650;3136
FP;4;176;ref;2.12;2.559;0.000;0.231;0.000;2.282;5.810;4.169;0.633;8.585;39.636;43.021;3.663;82.200;99.258;92.033;476.683;-1.977;0.000;0.000;146.935;41.653;-36.445;-15.407;-8.380;107.369;278.555;-16.294;-9.603;25.860;-0.037;128.357;3000.157;503.1960962;2496.961;121.8997096;329.3088878;6.456958923;2496.961018;2490.450108;6.510910436;4838;3198
CfD;5;226;ref;2.12;2.559;0.000;0.000;2.210;2.281;5.012;4.975;0.631;8.582;33.570;49.299;3.663;82.198;99.257;95.400;478.135;-1.721;0.000;0.000;148.092;42.404;-37.577;-15.940;-7.955;107.396;278.681;-14.922;-9.902;24.779;-0.044;129.024;3000.825;509.8925038;2490.932;128.5961172;329.5634548;0.428028852;2490.932088;2490.450108;0.481980364;4927;3330
REF;15;1;cheap-PtH;2.43;2.282;0.000;0.000;0.000;2.538;5.534;3.378;1.195;9.715;38.786;36.580;6.773;84.010;103.229;1074.625;441.685;98.196;23.072;47.088;1927.048;488.022;169.970;4.626;347.449;154.993;402.044;3568.302;495.265;15202.078;19265.645;2937.116;2937.116;446.6502199;2490.466;65.35383329;294.0769394;;2490.46569;2490.450108;0.015581688;4708;3047
CT;16;22;cheap-PtH;2.26;2.3;0.000;0.000;0.000;2.378;6.9;3.3;0.8;8.7;55.6;49.4;5.5;82.8;103.2;11.1;33.5;-0.1;0.0;0.0;33.0;27.8;-8.9;-0.8;12.0;155.0;401.9;-14.099;7.646;6.432;0;63.1;2934.866;509.2115593;2425.654;127.9151727;338.2016733;-64.84999513;2425.654064;2490.450108;-64.79604362;4115;2217
QT;17;76;cheap-PtH;2.20;2.3;0.810;0.000;0.000;2.344;7.0;3.0;0.9;8.9;49.8;34.8;6.0;82.6;103.2;35.4;18.8;0.0;0.0;0.0;58.5;14.6;-17.8;-1.9;-1.0;154.6;401.0;-10.724;4.904;5.820;0;52.4;2924.217;494.9472936;2429.269;113.650907;329.9991008;-61.23479397;2429.269265;2490.450108;-61.18084246;4642;2842
FP;18;176;cheap-PtH;2.20;2.3;0.000;0.125;0.000;2.343;6.9;3.1;0.9;8.9;50.0;34.6;6.0;82.5;103.2;35.1;19.0;0.1;0.0;0.0;56.7;13.1;-17.7;-1.9;-0.9;154.4;400.5;-10.295;5.416;4.774;0;49.3;2921.112;495.9032906;2425.208;114.606904;330.0321327;-65.29569073;2425.208369;2490.450108;-65.24173922;4550;2964
CfD;19;226;cheap-PtH;2.20;2.3;0.000;0.000;2.508;2.343;6.9;3.1;0.9;8.9;50.1;34.6;6.0;82.5;103.2;35.1;18.9;0.1;0.0;0.0;56.2;13.5;-17.7;-1.9;-0.9;154.4;400.5;-10.265;5.434;4.722;0;49.2;2921.037;495.8171675;2425.220;114.5207808;330.0247442;-65.28417648;2425.219883;2490.450108;-65.23022496;4548;2960
REF;21;1;expensive-PtH;2.69;2.6;0.000;0.000;0.000;2.738;0.2;6.5;2.2;11.1;1.4;54.5;11.4;85.1;104.4;1068.950;400.303;98.680;23.072;47.088;1896.941;444.089;177.836;5.186;334.018;157.8;409.4;3675.271;526.703;15064.046;19266;2858.1;2858.071;367.601326;2490.470;-13.69506063;221.6176968;;2490.470061;2490.450108;0.019952621;5170;3929
CT;22;22;expensive-PtH;2.31;2.6;0.000;0.000;0.000;2.422;0.6;8.9;1.3;9.1;3.5;101.4;8.6;82.6;104.4;24.9;66.7;-0.7;0.0;0.0;78.3;66.5;-19.4;-1.8;27.1;157.4;408.4;-44.640;9.916;34.697;0;150.8;3022.572;518.3021367;2504.270;137.0057501;313.6458498;13.76547387;2504.269533;2490.450108;13.81942538;5332;2908
QT;23;76;expensive-PtH;2.06;2.6;1.720;0.000;0.000;2.242;1.0;9.0;1.4;8.5;5.7;74.5;8.8;82.4;104.3;84.9;67.6;-0.2;0.0;0.0;151.2;69.4;-44.5;-3.9;2.6;156.8;406.8;-43.140;11.988;30.988;0;174.8;3046.573;542.2271999;2504.346;160.9308133;329.9532903;13.84188937;2504.345949;2490.450108;13.89584089;5647;3993
FP;24;176;expensive-PtH;2.06;2.6;0.000;0.370;0.000;2.242;1.0;9.0;1.4;8.5;6.1;74.1;8.8;82.4;104.3;85.2;67.0;-0.2;0.0;0.0;153.7;67.3;-44.5;-3.9;2.5;156.6;406.2;-39.287;12.838;26.284;0;175.1;3046.893;541.810138;2505.083;160.5137514;329.9691777;14.57927974;2505.083339;2490.450108;14.63323126;5561;3994
CfD;25;226;expensive-PtH;2.07;2.6;0.000;0.000;2.920;2.243;1.2;8.8;1.4;8.5;7.3;73.0;8.8;82.5;104.3;83.4;67.2;-0.3;0.0;0.0;151.4;67.2;-43.8;-3.9;2.7;156.6;406.1;-38.941;13.136;25.628;0;173.6;3045.424;540.2543198;2505.170;158.9579332;329.8933346;14.6659429;2505.170002;2490.450108;14.71989441;5523;3969
REF;29;1;high-natural-gas-price;2.56;2.4;0.000;0.000;0.000;2.672;3.1;6.2;0.0;10.6;20.0;55.3;0.2;85.9;106.1;1120.437;451.213;96.356;23.072;47.088;1994.761;498.162;89.018;61.941;337.715;149.2;386.9;3416.577;368.997;15479.803;19265;2981.6;2981.597;491.0922249;2490.505;109.7958383;309.450229;;2490.505165;2490.450108;0.055057401;5176;3722
CT;30;22;high-natural-gas-price;2.30;2.4;0.000;0.000;0.000;2.432;5.0;6.0;0.0;9.0;34.0;70.9;0.2;85.1;106.0;9.0;40.9;0.0;0.0;0.0;32.6;34.6;-5.4;-2.7;19.0;149.1;386.7;-10.844;0.008;10.828;0;78.0;2949.805;564.3061877;2385.499;183.0098011;361.9925119;-105.0053198;2385.49874;2490.450108;-104.9513683;4818;2793
QT;31;76;high-natural-gas-price;2.37;2.4;0.508;0.000;0.000;2.518;4.0;6.0;0.0;10.0;25.1;54.6;0.2;85.8;106.1;25.0;6.6;0.0;0.0;0.0;39.7;2.2;-7.8;-3.9;-2.3;149.0;386.6;-6.083;0.040;6.132;0;27.8;2899.649;518.8024134;2380.847;137.5060268;329.9992514;-109.6574183;2380.846641;2490.450108;-109.6034668;5210;3646
FP;32;176;high-natural-gas-price;2.37;2.4;0.000;0.075;0.000;2.519;4.2;5.8;0.0;10.0;26.6;53.1;0.2;85.8;106.0;24.5;5.7;0.0;0.0;0.0;39.4;0.3;-7.6;-3.7;-2.3;148.8;386.0;-4.024;0.152;3.883;0;26.0;2897.830;517.1282846;2380.701;135.831898;329.9833579;-109.8026741;2380.701385;2490.450108;-109.7487226;5189;3614
CfD;33;226;high-natural-gas-price;2.37;2.4;0.000;0.000;2.576;2.521;4.4;5.6;0.0;10.0;28.1;51.6;0.2;85.8;106.0;23.2;5.3;0.0;0.0;0.0;37.5;-0.3;-7.2;-3.5;-2.2;148.8;386.0;-3.986;0.146;3.811;0;24.2;2896.002;515.2960891;2380.706;133.9997024;329.8911307;-109.7980829;2380.705977;2490.450108;-109.7441314;5159;3581
REF;35;1;low-natural-gas-price;2.14;2.2;0.000;0.000;0.000;2.178;0.4;4.8;8.1;6.7;2.8;45.1;34.5;85.3;103.0;996.018;375.414;111.765;23.072;47.088;1784.993;415.049;224.882;2.705;345.812;158.9;412.3;3752.733;587.424;14925.836;19266;2773.4;2773.441;282.9257494;2490.515;-98.37063723;171.6381258;;2490.514802;2490.450108;0.064693796;4739;3516
CT;36;22;low-natural-gas-price;1.93;2.2;0.000;0.000;0.000;2.030;3.1;4.3;6.6;6.0;22.7;82.3;33.5;83.3;102.9;28.9;8.0;-3.4;0.0;0.0;89.3;9.9;-17.6;-0.5;21.6;158.5;411.0;-42.560;-1.590;44.150;0;102.8;2974.561;384.8000187;2589.761;3.503632107;245.4574174;99.25660087;2589.76066;2490.450108;99.31055239;4499;1742
QT;37;76;low-natural-gas-price;1.58;2.2;2.030;0.000;0.000;1.748;5.6;4.4;5.2;4.8;38.7;45.5;31.1;80.3;102.8;127.0;80.1;-9.7;0.0;0.0;219.4;83.6;-76.2;-2.0;0.5;157.7;409.0;-76.155;6.207;69.813;0;225.3;3097.078;505.9260553;2591.152;124.6296687;329.9880804;100.6483776;2591.152437;2490.450108;100.7023291;4780;3187
FP;38;176;low-natural-gas-price;1.57;2.2;0.000;0.484;0.000;1.747;5.7;4.3;5.2;4.8;38.9;45.3;31.1;80.3;102.9;127.0;80.1;-9.7;0.0;0.0;220.4;82.9;-76.2;-2.0;0.5;157.8;409.2;-77.677;5.997;71.578;0;225.4;3097.242;505.2734435;2591.969;123.9770569;330.0148438;101.4647835;2591.968843;2490.450108;101.518735;4838;3134
CfD;39;226;low-natural-gas-price;1.57;2.2;0.000;0.000;2.562;1.747;5.6;4.4;5.2;4.8;38.2;46.0;31.1;80.3;102.9;127.3;80.2;-9.7;0.0;0.0;220.0;82.7;-76.4;-2.0;0.5;157.8;409.2;-77.608;6.057;71.421;0;224.8;3096.573;505.9045327;2590.669;124.6081461;329.971443;100.164579;2590.668638;2490.450108;100.2185305;4849;3151
REF;41;1;Cheap-RES;2.55;2.4;0.000;0.000;0.000;2.623;3.2;5.3;1.3;10.0;21.4;51.4;7.2;84.1;105.0;1076.264;438.922;98.152;23.072;47.088;1928.480;486.032;169.572;4.536;347.473;155.9;404.5;3597.298;509.610;15158.899;19266;2936.1;2936.094;445.6165587;2490.477;64.32017211;282.5440785;;2490.477158;2490.450108;0.027050167;4965;3432
CT;42;22;Cheap-RES;2.27;2.4;0.000;0.000;0.000;2.386;5.0;5.0;1.1;8.8;36.2;68.8;7.2;83.0;105.0;18.7;23.1;-0.1;0.0;0.0;54.3;19.9;-11.1;-1.2;12.6;155.8;404.2;-13.171;-0.693;13.818;0;74.6;2946.415;509.0842649;2437.331;127.7878783;328.9060915;-53.17326652;2437.330793;2490.450108;-53.11931501;4534;2395
QT;43;76;Cheap-RES;2.13;2.4;1.297;0.000;0.000;2.294;5.3;4.7;1.1;8.7;35.2;46.4;7.2;82.7;104.9;53.1;20.5;0.0;0.0;0.0;81.0;16.3;-25.4;-2.6;-6.9;155.4;403.1;-10.296;1.301;8.886;0;62.4;2934.225;508.0068628;2426.218;126.7104762;329.9870505;-64.28574772;2426.218312;2490.450108;-64.2317962;5003;3313
FP;44;176;Cheap-RES;2.13;2.4;0.000;0.218;0.000;2.293;5.3;4.7;1.1;8.7;35.2;46.4;7.2;82.7;104.9;53.6;20.2;0.0;0.0;0.0;85.8;15.1;-25.6;-2.6;-7.0;155.3;402.8;-9.885;1.833;7.879;0;65.6;2937.427;508.6101985;2428.817;127.3138119;330.0395203;-61.68703094;2428.817029;2490.450108;-61.63307943;4952;3359
