2041;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak
REF;1;1;ref;2.25;2.399;0.000;0.000;0.000;2.361;79.508;97.701;24.210;177.649;53.677;112.481;7.000;103.586;103.502;1691.818;751.774;95.505;0.000;0.000;36507.427;9495.450;3394.178;1916.916;6950.455;615.439;404.335;3587.231;511.512;15167.099;19265.842;58264.425;58264.425;9121.752557;49142.672;0;0;0;0;0;0;48880;28664
CT;2;22;ref;2.25;2.400;0.000;0.000;0.000;2.362;85.986;96.174;23.377;173.498;53.703;112.409;7.000;103.560;103.458;0.403;-0.526;-0.018;0.000;0.000;123.052;83.152;-23.118;-1.781;59.464;611.523;404.174;-12.113;-0.561;12.674;0.000;240.769;58505.194;9343.199703;49161.994;221.4471466;6011.281123;19.32197186;49161.99438;2490.450108;46671.54427;52838;28234
QT;3;76;ref;2.25;2.400;0.000;0.000;0.000;2.362;85.424;93.952;23.989;175.573;53.628;112.512;7.000;103.640;103.465;0.142;-0.321;0.056;0.000;0.000;71.527;38.186;-23.080;-1.230;-13.072;613.643;402.971;-10.794;0.909;9.753;-0.132;72.331;58336.756;9194.475943;49142.280;72.72338699;5919.397711;-0.392005788;49142.2804;2490.450108;46651.83029;52566;27556
FP;4;176;ref;2.25;2.400;0.000;0.000;0.000;2.359;85.510;94.019;23.970;175.597;53.555;112.325;7.000;103.648;103.508;3.568;-2.089;-0.338;0.000;0.000;89.213;35.001;-26.047;-2.093;-13.420;606.991;404.686;-13.995;-0.578;14.617;0.043;82.654;58347.079;9202.236506;49144.842;80.48394986;5924.458605;2.16969747;49144.8421;2490.450108;46654.392;52690;27622
CfD;5;226;ref;2.25;2.400;0.000;0.000;0.000;2.359;85.598;93.911;23.978;175.615;53.546;112.336;7.000;103.645;103.510;3.435;-2.002;-0.328;0.000;0.000;92.160;31.990;-26.753;-2.292;-14.858;607.192;404.610;-14.146;-0.598;14.762;0.019;80.246;58344.671;9200.446745;49144.225;78.69418848;5923.8011;1.552236547;49144.22464;2490.450108;46653.77454;52754;27587
REF;15;1;cheap-PtH;2.14;2.282;0.000;0.000;0.000;2.260;126.219;62.641;22.353;169.343;89.145;92.144;6.610;103.110;103.229;1680.121;784.675;96.619;0.000;0.000;36567.564;9725.870;3369.830;1899.178;6977.995;614.013;402.044;3568.302;495.265;15202.078;19265.645;58540.436;58540.436;9395.572357;49144.864;273.8198005;6232.376288;;49144.8635;2490.450108;46654.4134;46724;22434
CT;16;22;cheap-PtH;2.16;2.3;0.000;0.000;0.000;2.273;131.493;62.926;17.706;166.972;89.5;92.4;5.3;103.1;103.2;-0.587;2.078;0.082;0.000;0.000;105.189;134.106;-27.268;-2.484;54.997;612.1;401.9;-14.099;7.646;6.432;0;264.5;58528.965;9659.877014;48869.088;538.1244577;6415.82243;-273.5848391;48869.08757;2490.450108;46378.63746;48488;22484
QT;17;76;cheap-PtH;2.15;2.3;0.000;0.000;0.000;2.267;130.289;60.912;19.894;168.584;89.4;92.2;5.9;103.2;103.2;-0.445;1.113;0.168;0.000;0.000;77.478;52.739;-23.289;-2.103;-4.426;613.3;401.0;-10.724;4.904;5.820;0;100.4;58364.823;9492.37754;48872.446;370.6249837;6309.64637;-270.2268378;48872.44557;2490.450108;46381.99546;48079;21810
FP;18;176;cheap-PtH;2.15;2.3;0.000;0.000;0.000;2.269;130.197;60.958;19.843;168.626;89.6;92.2;5.9;103.0;103.2;-0.229;1.624;0.012;0.000;0.000;81.111;42.196;-21.999;-1.945;-4.152;610.5;400.5;-10.295;5.416;4.774;0;95.2;58359.635;9490.516111;48869.119;368.7635541;6308.093789;-273.55338;48869.11903;2490.450108;46378.66892;47957;21816
CfD;19;226;cheap-PtH;2.15;2.3;0.000;0.000;0.000;2.269;130.235;60.938;19.833;168.616;89.6;92.3;5.9;103.0;103.2;-0.327;1.743;0.013;0.000;0.000;81.944;41.864;-22.058;-1.973;-3.907;610.6;400.5;-10.265;5.434;4.722;0;95.9;58360.296;9491.231399;48869.064;369.4788427;6308.704103;-273.6081352;48869.06427;2490.450108;46378.61416;47982;21798
REF;21;1;expensive-PtH;2.42;2.6;0.000;0.000;0.000;2.540;12.344;138.662;38.992;189.518;22.5;121.3;11.3;104.2;104.4;1705.277;692.083;94.364;0.000;0.000;36024.660;9012.595;3521.938;1960.486;6829.982;617.4;409.4;3675.271;526.703;15064.046;19266;57349.7;57349.661;8208.347358;49141.314;-913.4051981;4983.202495;;49141.31402;2490.450108;46650.86391;18126;37727
CT;22;22;expensive-PtH;2.44;2.6;0.000;0.000;0.000;2.567;15.723;149.573;28.947;182.778;25.7;118.8;8.5;104.1;104.4;2.007;4.603;0.146;0.000;0.000;395.811;316.279;-79.956;-8.962;136.420;613.1;408.4;-44.640;9.916;34.697;0;759.6;59024.017;8967.729756;50056.287;-154.0228001;5454.761163;913.6148522;50056.28726;2490.450108;47565.83715;20183;41543
QT;23;76;expensive-PtH;2.44;2.6;0.000;0.000;0.000;2.566;19.208;141.372;30.379;186.021;23.2;121.3;8.6;104.1;104.3;2.844;5.212;0.106;0.000;0.000;271.534;277.934;-90.229;-3.612;17.182;615.2;406.8;-43.140;11.988;30.988;0;472.8;58737.234;8680.96967;50056.264;-440.7828861;5299.13383;913.5917583;50056.26417;2490.450108;47565.81406;27347;38475
FP;24;176;expensive-PtH;2.44;2.6;0.000;0.000;0.000;2.564;18.380;141.960;30.472;186.083;23.3;121.3;8.7;104.1;104.3;3.043;5.315;0.191;0.000;0.000;266.251;270.380;-86.140;-2.172;18.560;613.1;406.2;-39.287;12.838;26.284;0;466.9;58731.304;8674.303338;50057.001;-447.4492187;5291.230932;914.328486;50057.00089;2490.450108;47566.55079;25998;38632
CfD;25;226;expensive-PtH;2.44;2.6;0.000;0.000;0.000;2.564;19.930;140.511;30.373;186.036;23.3;121.3;8.6;104.1;104.3;3.187;5.320;0.205;0.000;0.000;261.902;268.482;-85.339;-2.070;17.319;613.3;406.1;-38.941;13.136;25.628;0;460.3;58724.719;8667.639273;50057.080;-454.113283;5294.538258;914.4072858;50057.07969;2490.450108;47566.62958;28265;38226
REF;29;1;high-natural-gas-price;2.20;2.4;0.000;0.000;0.000;2.324;86.875;109.323;0.461;195.008;53.2;114.8;0.0;105.8;106.1;1737.720;754.589;90.833;0.000;0.000;37863.641;9720.141;2787.303;2081.127;6799.093;610.7;386.9;3416.577;368.997;15479.803;19265;59251.3;59251.306;10108.32033;49142.986;986.5677737;6474.54744;;49142.98573;2490.450108;46652.53562;53919;31437
CT;30;22;high-natural-gas-price;2.20;2.4;0.000;0.000;0.000;2.325;91.505;110.394;0.451;189.307;53.2;114.7;0.0;105.7;106.0;-0.077;-0.181;0.032;0.000;0.000;91.765;144.109;-15.204;-5.179;69.550;608.0;386.7;-10.844;0.008;10.828;0;285.0;58549.466;10385.48497;48163.981;1263.732414;6662.672777;-978.691047;48163.98136;2490.450108;45673.53125;56713;31766
QT;31;76;high-natural-gas-price;2.20;2.4;0.000;0.000;0.000;2.324;88.683;108.360;0.457;194.161;53.2;114.7;0.0;105.8;106.1;-0.059;-1.233;-0.045;0.000;0.000;59.802;-11.960;-7.101;-3.362;-4.919;610.7;386.6;-6.083;0.040;6.132;0;32.5;58296.886;10140.587;48156.299;1018.834442;6502.431263;-986.3734986;48156.29891;2490.450108;45665.8488;55008;31177
FP;32;176;high-natural-gas-price;2.20;2.4;0.000;0.000;0.000;2.324;89.273;107.691;0.457;194.217;53.4;114.4;0.0;105.8;106.0;-0.534;-1.325;0.165;0.000;0.000;56.109;-20.379;-5.339;-2.649;-4.623;606.5;386.0;-4.024;0.152;3.883;0;23.1;58287.545;10131.58356;48155.961;1009.830999;6499.807744;-986.71114;48155.96127;2490.450108;45665.51116;55202;31054
CfD;33;226;high-natural-gas-price;2.20;2.4;0.000;0.000;0.000;2.324;89.834;107.146;0.457;194.208;53.4;114.5;0.0;105.8;106.0;0.020;-1.628;0.138;0.000;0.000;55.472;-22.918;-5.260;-2.582;-5.253;606.4;386.0;-3.986;0.146;3.811;0;19.5;58283.884;10128.06697;48155.817;1006.314409;6500.342612;-986.8552015;48155.81721;2490.450108;45665.3671;55558;30889
REF;35;1;low-natural-gas-price;2.08;2.2;0.000;0.000;0.000;2.182;46.848;90.035;119.945;127.877;45.3;104.4;34.3;102.8;103.0;1657.555;676.183;99.003;0.000;0.000;34824.977;8463.508;4570.720;1447.948;6994.559;627.1;412.3;3752.733;587.424;14925.836;19266;56301.7;56301.712;7160.483708;49141.228;-1961.268849;4517.14485;;49141.22848;2490.450108;46650.77837;34130;28469
CT;36;22;low-natural-gas-price;2.09;2.2;0.000;0.000;0.000;2.196;52.161;94.047;112.340;125.390;45.6;103.7;33.3;102.7;102.9;-0.490;1.891;0.268;0.000;0.000;425.921;59.100;-94.161;0.331;81.470;622.7;411.0;-42.560;-1.590;44.150;0;472.7;58737.087;7631.569918;51105.517;-1490.182639;4824.842372;1962.844548;51105.51695;2490.450108;48615.06685;37780;29924
QT;37;76;low-natural-gas-price;2.11;2.2;0.000;0.000;0.000;2.217;71.577;80.108;104.357;125.905;46.5;104.4;30.9;102.7;102.8;-2.193;11.067;0.407;0.000;0.000;358.750;435.888;-169.913;0.012;0.062;623.7;409.0;-76.155;6.207;69.813;0;624.8;58889.223;7780.274319;51108.949;-1341.478237;5005.600433;1966.276587;51108.94899;2490.450108;48618.49889;50808;25324
FP;38;176;low-natural-gas-price;2.11;2.2;0.000;0.000;0.000;2.218;71.788;79.950;104.344;125.888;46.5;104.4;30.9;102.5;102.9;-2.528;10.772;0.426;0.000;0.000;369.591;428.049;-168.986;-1.532;-0.245;626.0;409.2;-77.677;5.997;71.578;0;626.9;58891.301;7781.512075;51109.789;-1340.240481;5007.336131;1967.116605;51109.78901;2490.450108;48619.3389;50983;25260
