2033;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak
REF;1;2;ref;2.67;2.556;0.000;0.000;0.000;2.745;16.684;25.675;9.028;65.419;36.238;53.187;3.593;84.956;99.358;1192.899;391.769;34.530;0.000;0.000;15641.383;4239.951;2466.360;2246.578;5826.579;144.144;280.884;4159.818;739.480;14365.095;19264.393;30420.851;30420.851;2198.668434;28222.183;0;0;0;0;0;0;15194;15930
CT;2;22;ref;2.45;2.559;0.000;0.000;0.000;2.582;22.996;24.558;8.176;61.608;42.990;61.840;3.343;84.018;99.319;-3.112;40.636;-0.140;0.000;0.000;161.450;141.229;-30.714;-6.356;28.202;143.007;278.700;-16.232;-8.153;24.400;0.015;293.810;30714.661;2434.816888;28279.844;236.148454;1569.30041;57.6612387;28279.84408;2490.450108;25789.39397;17652;13105
QT;3;76;ref;2.63;2.551;0.000;0.000;0.000;2.714;24.168;23.578;8.024;61.554;43.459;48.188;3.271;84.294;99.400;-11.589;36.215;5.725;0.000;0.000;214.510;121.488;-99.499;16.384;-14.410;142.201;277.374;-29.281;-10.014;31.224;-8.070;238.472;30659.323;2436.158627;28223.165;237.4901935;1575.631093;0.981884152;28223.16472;2490.450108;25732.71461;18352;16147
FP;4;176;ref;2.64;2.559;0.000;0.000;0.000;2.723;22.392;24.444;8.807;62.135;39.615;51.275;3.593;84.506;99.258;-12.580;33.189;2.442;0.000;0.000;173.566;112.893;-59.069;-4.535;-15.120;142.941;278.555;-16.294;-9.603;25.860;-0.037;207.736;30628.587;2400.06138;28228.526;201.3929464;1545.60108;6.342880983;28228.52572;2490.450108;25738.07561;18653;15732
CfD;5;226;ref;2.65;2.559;0.000;0.000;0.000;2.724;19.991;26.832;8.809;62.176;38.003;52.815;3.593;84.525;99.257;-12.184;34.641;3.307;0.000;0.000;180.914;119.044;-61.829;-4.444;-13.240;142.990;278.681;-14.922;-9.902;24.779;-0.044;220.444;30641.296;2418.213555;28223.082;219.5451208;1545.171223;0.899305008;28223.08214;2490.450108;25732.63203;17359;16766
REF;15;1;cheap-PtH;2.58;2.439;0.000;0.000;0.000;2.688;33.497;17.680;0.727;62.744;52.672;39.613;0.136;85.105;98.958;1192.233;400.107;38.795;0.000;0.000;15811.210;4454.455;2385.736;2236.575;5885.537;142.912;278.437;4125.855;746.793;14391.579;19264.226;30773.513;30773.513;2551.562018;28221.951;352.8935839;1688.853424;;28221.95055;2490.450108;25731.50044;20987;14728
CT;16;22;cheap-PtH;2.47;2.4;0.000;0.000;0.000;2.599;36.898;17.477;0.627;60.480;58.3;46.5;0.1;84.2;98.9;-1.633;35.959;-1.900;0.000;0.000;72.158;95.552;-30.074;11.536;26.239;142.2;276.9;-5.105;-11.122;16.491;0;175.4;30596.262;2700.731388;27895.531;502.0629544;1794.388782;-326.6517582;27895.53108;2490.450108;25405.08097;20895;12401
QT;17;76;cheap-PtH;2.57;2.4;0.007;0.000;0.000;2.680;36.974;16.514;0.624;61.164;55.9;35.9;0.1;84.6;98.9;-11.542;27.275;-0.867;0.000;0.000;72.684;72.077;-40.257;5.843;-10.413;142.1;276.9;-9.581;-7.959;17.746;0;99.9;30520.785;2651.345319;27869.440;452.6768853;1765.112822;-352.7431677;27869.43967;2490.450108;25378.98956;21810;15171
FP;18;176;cheap-PtH;2.57;2.4;0.000;0.000;0.000;2.682;35.304;18.215;0.624;61.215;55.3;37.1;0.1;84.6;98.9;-12.525;29.674;-2.208;0.000;0.000;89.969;75.275;-42.529;5.269;-8.735;142.1;277.0;-7.776;-8.408;16.280;0;119.2;30540.100;2666.159447;27873.941;467.4910131;1766.130555;-348.2420733;27873.94076;2490.450108;25383.49066;21083;16207
CfD;19;226;cheap-PtH;2.56;2.4;0.000;0.000;0.000;2.680;30.882;22.281;0.626;61.406;45.3;47.1;0.1;84.5;98.9;-9.085;31.087;-2.778;0.000;0.000;95.021;82.565;-41.497;6.130;-4.590;142.1;276.9;-10.306;-6.185;16.789;0;137.6;30558.480;2681.343143;27877.137;482.6747092;1754.393346;-345.0455064;27877.13733;2490.450108;25386.68722;22504;15620
