2030;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;;;;
REF;1;1;ref;2.54;2.399;0.000;0.000;0.000;2.616;3.182;5.436;1.282;9.938;21.113;52.146;7.163;83.978;103.502;1075.122;442.664;98.147;23.072;47.088;1927.534;489.954;169.620;4.588;347.725;155.884;404.335;3587.231;511.512;15167.099;19265.842;2939.422;2939.422;448.9718903;2490.450;0;0;0;;;;4974;3440;;;;
CT;2;22;ref;2.27;2.400;0.000;0.000;0.000;2.386;5.015;4.954;1.072;8.797;36.480;68.492;7.163;82.868;103.458;15.495;24.001;-0.181;0.000;0.000;49.233;20.805;-9.755;-1.021;12.416;155.812;404.174;-12.113;-0.561;12.674;0.000;71.677;3011.099;508.880581;2502.219;59.90869068;328.9689704;11.76848345;2502.218591;2490.450108;11.76848345;4536;2387;;;;
HT_3500;3;126;ref;2.25;2.400;1.006;0.000;0.000;2.369;2.462;7.538;1.072;8.764;23.209;71.072;7.163;81.944;103.454;40.213;25.826;-0.103;0.000;0.000;91.097;19.782;-20.561;-2.154;8.189;155.613;403.634;-15.181;0.084;15.068;-0.029;96.354;3035.776;530.6354984;2505.140;81.66360808;329.986042;14.68991744;2505.140025;2490.450108;14.68991744;3500;3500;;;;
HT_3800;4;276;ref;2.21;2.400;1.103;0.000;0.000;2.343;2.214;7.785;1.080;8.755;19.227;67.610;7.163;81.950;103.451;49.327;30.475;-0.081;0.000;0.000;100.949;22.024;-24.784;-2.543;1.412;155.523;403.403;-17.166;0.528;16.562;-0.075;97.059;3036.481;532.5718467;2503.909;83.59995634;329.9805638;13.4589563;2503.909064;2490.450108;13.4589563;3800;3800;;;;
HT_4000;5;376;ref;2.18;2.400;1.222;0.000;0.000;2.327;2.588;7.412;1.095;8.739;21.347;63.308;7.163;82.032;103.453;53.620;28.249;-0.072;0.000;0.000;103.975;18.526;-26.349;-2.683;-1.678;155.502;403.347;-17.329;0.598;16.657;-0.074;91.792;3031.214;529.6658841;2501.548;80.69399381;329.9977898;11.09811094;2501.548219;2490.450108;11.09811094;4000;3864;;;;
QT;6;76;ref;2.13;2.400;1.280;0.000;0.000;2.295;5.296;4.704;1.120;8.714;34.919;46.829;7.163;82.654;103.465;52.323;18.637;-0.029;0.000;0.000;79.288;14.375;-24.835;-2.617;-6.769;155.356;402.971;-10.794;0.909;9.753;-0.132;59.442;2998.864;508.3647313;2490.499;59.39284102;329.9848178;0.049206691;2490.499315;2490.450108;0.049206691;5005;3315;;;;
FP;7;176;ref;2.13;2.400;0.000;0.213;0.000;2.296;5.265;4.736;1.120;8.717;35.091;46.607;7.163;82.686;103.508;52.717;18.357;-0.035;0.000;0.000;83.339;13.523;-24.968;-2.628;-6.937;156.014;404.686;-13.995;-0.578;14.617;0.043;62.329;3001.751;508.7082595;2493.043;59.73636923;330.04672;2.592512937;2493.042621;2490.450108;2.592512937;4952;3353;;;;
CfD;8;226;ref;2.13;2.400;0.000;0.000;2.647;2.296;5.276;4.721;1.122;8.718;35.157;46.208;7.163;82.696;103.510;54.311;17.462;-0.037;0.000;0.000;84.943;12.632;-25.529;-2.680;-7.783;155.984;404.610;-14.146;-0.598;14.762;0.019;61.582;3001.004;508.42295;2492.581;59.4510597;329.9282292;2.130542452;2492.58065;2490.450108;2.130542452;4953;3372;;;;
FP_3500;9;416;ref;2.25;2.400;0.000;0.327;0.000;2.369;2.459;7.543;1.072;8.762;23.188;71.123;7.163;81.941;103.472;40.401;25.825;-0.098;0.000;0.000;93.346;19.374;-20.650;-2.162;8.192;155.899;404.374;-17.065;-0.803;17.830;-0.038;98.100;3037.522;530.8254907;2506.697;81.85360036;330.0892537;16.24657714;2506.696685;2490.450108;16.24657714;3500;3500;;;;
FP_3800;10;417;ref;2.21;2.400;0.000;0.277;0.000;2.345;2.293;7.706;1.080;8.758;19.913;66.924;7.163;81.977;103.470;48.478;30.958;-0.102;0.000;0.000;100.092;22.626;-24.486;-2.517;1.375;155.827;404.188;-18.577;-0.430;18.924;-0.083;97.090;3036.512;531.9517028;2504.560;82.97981251;329.981007;14.1103373;2504.560445;2490.450108;14.1103373;3800;3800;;;; 
FP_4000;11;418;ref;2.19;2.400;0.000;0.260;0.000;2.329;2.654;7.344;1.095;8.742;21.899;62.682;7.163;82.074;103.462;53.312;28.219;-0.086;0.000;0.000;103.099;18.750;-26.207;-2.672;-1.804;155.777;404.067;-18.449;-0.233;18.507;-0.175;91.167;3030.589;529.0545557;2501.534;80.08266541;329.9466801;11.08403112;2501.534139;2490.450108;11.08403112;4000;3866;;;;
CfD_3500;12;419;ref;2.25;2.399;0.000;0.000;2.754;2.370;2.412;7.587;1.072;8.766;22.739;71.537;7.163;82.103;103.487;40.834;25.327;-0.104;0.000;0.000;95.780;19.351;-20.771;-2.181;8.232;155.797;404.114;-16.925;-0.528;17.359;-0.095;100.411;3039.833;530.9951906;2508.838;82.02330027;329.9666527;18.38819774;2508.838306;2490.450108;18.38819774;3500;3500;;;;
CfD_3800;13;420;ref;2.21;2.400;0.000;0.000;2.706;2.348;2.405;7.589;1.080;8.764;20.881;65.905;7.163;82.102;103.486;49.669;28.369;-0.106;0.000;0.000;101.399;20.092;-24.672;-2.549;1.409;155.745;403.986;-17.951;-0.256;18.022;-0.185;95.678;3035.100;530.7535047;2504.347;81.78161439;329.7876474;13.89670503;2504.346813;2490.450108;13.89670503;3800;3800;;;;
