2031;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;;;;
REF;1;1;ref;2.56;2.399;0.000;0.000;0.000;2.634;3.585;6.019;1.261;10.496;23.185;56.455;7.140;85.306;103.502;1160.214;435.275;93.102;19.776;43.164;2060.134;482.629;148.393;5.536;312.966;171.472;404.335;3587.231;511.512;15167.099;19265.842;3009.658;3009.658;500.0422257;2509.616;0;0;0;;;;5102;3518;;;;
CT;2;22;ref;2.30;2.400;0.000;0.000;0.000;2.421;5.323;5.492;1.068;9.474;36.473;68.485;7.140;84.016;103.458;6.868;24.001;-0.272;0.000;0.000;27.981;21.582;-5.335;-0.525;15.749;171.394;404.174;-12.113;-0.561;12.674;0.000;59.452;3069.111;552.9983107;2516.112;52.95608496;356.8940423;6.496253789;2516.112362;2490.450108;25.66225441;4816;2646;;;;
HT_3500;3;126;ref;2.34;2.400;0.724;0.000;0.000;2.462;2.921;7.537;1.099;9.800;23.220;71.065;7.140;84.002;103.454;9.274;25.826;-0.155;0.000;0.000;37.162;25.498;-6.442;-0.663;10.720;171.175;403.634;-15.181;0.084;15.068;-0.029;66.274;3075.933;552.2699152;2523.663;52.22768948;345.1340712;14.04679188;2523.6629;2490.450108;33.21279249;4152;3500;;;;
HT_3800;4;276;ref;2.37;2.400;0.531;0.000;0.000;2.487;2.426;7.787;1.166;9.980;19.220;67.623;7.140;84.203;103.451;5.629;30.475;-0.122;0.000;0.000;23.080;28.128;-5.533;-0.474;4.372;171.075;403.403;-17.166;0.528;16.562;-0.075;49.573;3059.232;542.6319629;2516.600;42.58973722;337.0146055;6.983433044;2516.599542;2490.450108;26.14943366;4165;3800;;;;
HT_4000;5;376;ref;2.37;2.400;0.359;0.000;0.000;2.496;2.714;7.413;1.186;10.044;21.340;63.301;7.140;84.446;103.453;5.344;28.249;-0.109;0.000;0.000;19.211;24.739;-5.203;-0.449;1.577;171.053;403.347;-17.329;0.598;16.657;-0.074;39.875;3049.533;535.6596771;2513.873;35.61745139;334.1885619;4.257316284;2513.873425;2490.450108;23.4233169;4196;3865;;;;
QT;6;76;ref;2.37;2.400;0.164;0.000;0.000;2.498;5.241;4.760;1.223;10.128;34.912;46.822;7.140;84.878;103.465;-5.188;18.637;-0.043;0.000;0.000;-6.241;16.282;-0.155;0.238;-1.308;170.892;402.971;-10.794;0.909;9.753;-0.132;8.816;3018.474;508.8546931;2509.620;8.812467382;330.0208311;0.00343872;2509.619547;2490.450108;19.16943934;4954;3354;;;;
FP;7;176;ref;2.37;2.400;0.000;0.000;0.000;2.499;5.265;4.736;1.223;10.133;35.084;46.600;7.140;84.902;103.508;-4.884;18.357;-0.052;0.000;0.000;-4.876;15.009;-0.244;0.224;-1.456;171.616;404.686;-13.995;-0.578;14.617;0.043;8.657;3018.316;508.7082595;2509.607;8.666033841;330.04672;-0.008762371;2509.607346;2490.450108;19.15723825;4953;3354;;;;
CfD;8;226;ref;2.37;2.400;0.000;0.000;0.000;2.501;5.276;4.721;1.226;10.135;35.150;46.201;7.140;84.969;103.510;-3.494;17.462;-0.056;0.000;0.000;-2.983;14.111;-0.686;0.148;-2.205;171.583;404.610;-14.146;-0.598;14.762;0.019;8.385;3018.043;508.42295;2509.620;8.380724312;329.9282292;0.003940999;2509.62005;2490.450108;19.16994162;4954;3372;;;;
FP_3500;9;416;ref;2.34;2.400;0.000;0.000;0.000;2.461;2.929;7.543;1.098;9.790;23.181;71.117;7.140;84.043;103.472;10.086;25.825;-0.148;0.000;0.000;39.777;25.744;-6.751;-0.709;10.632;171.489;404.374;-17.065;-0.803;17.830;-0.038;68.693;3078.352;552.9748334;2525.377;52.93260772;345.5937936;15.76077657;2525.376885;2490.450108;34.92677718;4170;3500;;;;
FP_3800;10;417;ref;2.36;2.400;0.000;0.000;0.000;2.486;2.519;7.706;1.165;9.972;19.906;66.917;7.140;84.261;103.470;5.595;30.958;-0.153;0.000;0.000;22.732;28.983;-5.571;-0.475;4.151;171.410;404.188;-18.577;-0.430;18.924;-0.083;49.821;3059.479;542.5823398;2516.897;42.54011406;337.4224528;7.280458626;2516.896567;2490.450108;26.44645924;4175;3800;;;; 
