2035;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_price_2040;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;PtH_base_H;PtH_peak;;;;
REF;1;1;ref;2.54;2.399;0;6.063;7.341;1.191;12.902;37.038;66.545;7.047;89.881;103.502;1399.427;489.065;98.226;6.592;27.468;2427.607;540.784;121.348;0.55;185.551;251.053;404.335;3587.231;511.512;15167.099;19265.842;3275.839;3275.839;689.5960166;2586.243;0;0;0;5402;3641;;;;
CT;2;22;ref;2.49;2.4;0;6.006;7.493;1.173;12.828;36.53;68.458;7.047;89.998;103.458;3.296;-0.309;-1.377;0;0;9.388;-3.468;-1.157;0.035;0.868;250.943;404.174;-12.113;-0.561;12.674;0;5.664;3281.503;695.2696776;2586.234;5.673661023;445.4764383;-0.009237429;5426;3612;;;;
HT_3500;3;126;ref;2.53;2.4;0;5.407;7.935;1.196;12.963;32.526;71.038;7.047;89.923;103.454;2.712;-3.839;-0.785;0;0;11.202;-9.456;-0.622;0.016;0.552;250.62;403.634;-15.181;0.084;15.068;-0.029;1.692;3277.531;691.3045292;2586.226;1.708512586;440.2734151;-0.01653801;5486;3686;;;;
HT_3800;4;276;ref;2.53;2.4;0;5.92;7.499;1.191;12.89;35.989;67.596;7.047;89.92;103.451;1.633;0.304;-0.617;0;0;7.621;-4.941;-0.638;0.011;-0.134;250.475;403.403;-17.166;0.528;16.562;-0.075;1.919;3277.758;691.5329625;2586.225;1.936945928;442.8295824;-0.017907838;5429;3661;;;;
HT_4000;5;376;ref;2.53;2.4;0;6.091;7.328;1.191;12.889;37.196;66.365;7.047;89.915;103.453;1.044;0.077;-0.55;0;0;6.106;-4.903;-0.42;0.01;-0.199;250.441;403.347;-17.329;0.598;16.657;-0.074;0.594;3276.433;690.2086896;2586.224;0.612673037;442.8415623;-0.019070434;5404;3644;;;;
QT;6;76;ref;2.54;2.4;0;6.057;7.329;1.193;12.918;36.995;66.554;7.047;89.863;103.465;1.071;-2.4;-0.22;0;0;5.473;-6.343;-0.136;0.001;0.058;250.206;402.971;-10.794;0.909;9.753;-0.132;-0.948;3274.891;688.6410152;2586.25;-0.955001396;441.7379607;0.007384689;5403;3634;;;;
FP;7;176;ref;2.54;2.4;0;6.1;7.312;1.19;12.897;37.274;66.298;7.047;89.913;103.508;0.556;-0.196;-0.264;0;0;5.142;-4.767;-0.191;0.003;-0.1;251.268;404.686;-13.995;-0.578;14.617;0.043;0.085;3275.924;689.6902195;2586.234;0.094202886;442.5696118;-0.009002554;5400;3639;;;;
CfD;8;226;ref;2.54;2.4;0;6.105;7.306;1.191;12.898;37.314;66.255;7.047;89.909;103.51;0.484;-0.185;-0.282;0;0;4.966;-4.696;-0.17;0.003;-0.099;251.22;404.61;-14.146;-0.598;14.762;0.019;0.005;3275.844;689.6152405;2586.228;0.01922388;442.5499645;-0.014634509;5399;3639;;;;
FP_3500;9;416;ref;2.53;2.4;0;5.401;7.943;1.195;12.959;32.466;71.09;7.047;89.992;103.472;3.573;-4.495;-0.747;0;0;12.575;-10.359;-0.829;0.009;0.494;251.079;404.374;-17.065;-0.803;17.83;-0.038;1.89;3277.729;691.4941815;2586.235;1.898164869;440.3579047;-0.007962321;5490;3687;;;;
FP_3800;10;417;ref;2.53;2.4;0;5.574;7.807;1.192;12.926;33.629;70.027;7.047;89.977;103.47;2.256;-1.724;-0.772;0;0;9.869;-7.029;-0.666;0.015;0.344;250.963;404.188;-18.577;-0.43;18.924;-0.083;2.534;3278.373;692.1552524;2586.217;2.559235757;441.5691809;-0.025527567;5469;3679;;;; 
FP_4000;11;418;ref;2.53;2.4;0;5.902;7.487;1.192;12.919;35.886;67.674;7.047;89.971;103.462;2.26;-2.584;-0.651;0;0;8.726;-7.826;-0.568;0.01;0.058;250.885;404.067;-18.449;-0.233;18.507;-0.175;0.401;3276.24;690.0016571;2586.238;0.405640519;441.823827;-0.004892408;5427;3651;;;;
