id;SCN_CT;SCN_QT;SCN_H_2000;SCN_H_3000;SCN_FP;SCN_HPA;SCN_CG;SCB_H_4000;CN_CAP_CT;CN_CAP_QT;CN_CAP_H_2000;CN_CAP_H_3000;CN_CAP_FP;CN_CAP_HPA;CN_CAP_CG;CN_CAP_H_4000;CN_PROD_CT;CN_PROD_QT;CN_PROD_H_2000;CN_PROD_H_3000;CN_PROD_FP;CN_PROD_HPA;CN_PROD_CG;CN_PROD_H_4000;H2_COST_CT;H2_COST_QT;H2_COST_H_2000;H2_COST_H_3000;H2_COST_FP;H2_COST_HPA;H2_COST_CG;H2_COST_H_4000;RES_COST_CT;RES_COST_QT;RES_COST_H_2000;RES_COST_H_3000;RES_COST_FP;RES_COST_HPA;RES_COST_CG;RES_COST_H_4000;TOT_COST_CT;TOT_COST_QT;TOT_COST_H_2000;TOT_COST_H_3000;TOT_COST_FP;TOT_COST_HPA;TOT_COST_CG;TOT_COST_H_4000;ETS_COST_CT;ETS_COST_QT;ETS_COST_H_2000;ETS_COST_H_3000;ETS_COST_FP;ETS_COST_HPA;ETS_COST_CG;EST_COST_H_4000;NET_COST_CT;NET_COST_QT;NET_COST_H_2000;NET_COST_H_3000;NET_COST_FP;NET_COST_HPA;NET_COST_CG;NET_COST_H_4000;PS_COST_CT;PS_COST_QT;PS_COST_H_2000;PS_COST_H_3000;PS_COST_FP;PS_COST_HPA;PS_COST_CG;PS_COST_H_4000;H2S_COST_CT;H2S_COST_QT;H2S_COST_H_2000;H2S_COST_H_3000;H2S_COST_FP;H2S_COST_HPA;H2S_COST_CG;H2S_COST_H_4000;INDS_COST_CT;INDS_COST_QT;INDS_COST_H_2000;INDS_COST_H_3000;INDS_COST_FP;INDS_COST_HPA;INDS_COST_CG;INDS_COST_H_4000
1;2;52;102;252;152;202;302;352;73.42958273;;;;;;;;8.657071097;;;;;;;;2.682325715;;;;;;;;652.6886893;;;;;;;;5613235.9;;;;;;;;162.6062413;;;;;;;;492.7647737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3;53;103;253;153;203;303;353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4;54;104;254;154;204;304;354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;5;55;105;255;155;205;305;355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;6;56;106;256;156;206;306;356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;7;57;107;257;157;207;307;357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;8;58;108;258;158;208;308;358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;9;59;109;259;159;209;309;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;10;60;110;260;160;210;310;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;11;61;111;261;161;211;311;361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;12;62;112;262;162;212;312;362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;13;63;113;263;163;213;313;363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;14;64;114;264;164;214;314;364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;15;65;115;265;165;215;315;365;-0.278281042;;;;;;;;-0.033236797;;;;;;;;550.2521798;;;;;;;;-169.3355605;;;;;;;;-532.39;;;;;;;;-1110.169208;;;;;;;;1491.085828;;;;;;;;94868.39;;;;;;;;-7058.03;;;;;;;;-14401.17;;;;;;;
15;16;66;116;266;166;216;316;366;1.608370027;;;;;;;;0.138382359;;;;;;;;1187.480699;;;;;;;;-123.5898575;;;;;;;;-344.45;;;;;;;;-1008.164863;;;;;;;;2072.055705;;;;;;;;94976.48;;;;;;;;-6945.27;;;;;;;;-14434.07;;;;;;;
16;17;67;117;267;167;217;317;367;6.541481677;;;;;;;;0.384316245;;;;;;;;4220.10736;;;;;;;;-165.4430987;;;;;;;;369.54;;;;;;;;-1277.770249;;;;;;;;5332.434511;;;;;;;;95508.82;;;;;;;;-6659.81;;;;;;;;-14537.87;;;;;;;
17;18;68;118;268;168;218;318;368;11.5479195;;;;;;;;0.562880363;;;;;;;;7921.265354;;;;;;;;177.5759903;;;;;;;;1117.5;;;;;;;;-276.0012541;;;;;;;;8374.842598;;;;;;;;95827.48;;;;;;;;-6132.25;;;;;;;;-14636.16;;;;;;;
18;19;69;119;269;169;219;319;369;16.53988419;;;;;;;;0.854098431;;;;;;;;12265.85616;;;;;;;;265.1142643;;;;;;;;;;;;;;;;-944.7186183;;;;;;;;13475.68904;;;;;;;;96552.86;;;;;;;;-5456.32;;;;;;;;-14829.22;;;;;;;
19;20;70;120;270;170;220;320;370;21.53037434;;;;;;;;0.994723374;;;;;;;;16122.69358;;;;;;;;299.6790392;;;;;;;;3461.28;;;;;;;;-932.3780434;;;;;;;;17354.75067;;;;;;;;96970.24;;;;;;;;-4665.59;;;;;;;;-14901.78;;;;;;;
20;21;71;121;271;171;221;321;371;26.54317586;-0.272081641;2.001548255;0.908730491;0.280789854;0.317553025;;;1.232193774;-0.030372332;0.194108492;0.077928179;0.039035205;0.046470445;;;20816.39739;1.872164855;3201.087565;590.1883073;263.8135457;-11598.63494;;;479.691845;28.02333298;-17.31050382;46.73878571;-9.882934235;-189.9976932;;;5171.26;-786.13;-244.41;-235.73;-910.79;-1249.29;;;-485.6291225;-4300.463275;-1253.919843;-953.512208;3836.273513;4540.755687;;;21781.71836;4330.358773;4437.696904;1590.439301;-3582.342901;-16329.38832;;;97857.99;94536.87;95411.51;95221.41;94650.48;94264.47;;;-3679.9;-7103.99;-7147.18;-7041.95;-6895.9;-6827.61;;;-15065.24;-14277.42;-14567.16;-14473.61;-14723.76;-14744.55;;
21;22;72;122;272;172;222;322;372;31.54218695;-0.286935217;5.772959983;1.941106753;0.214127823;0.271947;;;1.311685583;-0.03275491;0.470674212;0.238962711;0.031049138;0.041193561;;;25138.91404;3.871457277;4363.860472;2180.370516;288.0428594;-11554.4829;;;618.5268921;-16.13643854;-225.8162147;-117.3012851;-129.7161738;-114.9830398;;;6630.61;-941.8;338.32;-209.96;-951.69;-831.08;;;-846.6021293;-4512.771806;-1761.967039;-1948.785681;3951.49587;4026.378714;;;26604.04306;4500.506825;5900.011297;4011.854912;-3793.169184;-15695.84466;;;98363.97;94377.83;96152.64;95636.54;94598.19;94670.11;;;-2600.16;-7109.18;-7145.48;-7268.67;-6885.01;-6845.82;;;-15191.62;-14268.86;-14727.25;-14636.24;-14723.29;-14713.77;;
22;23;73;123;273;173;223;323;373;36.53718989;1.386726859;9.542162465;2.990377582;1.110987302;0.904849075;;;1.394907477;0.143431013;0.591553591;0.310952065;0.146667066;0.139186755;;;29322.57897;639.7759655;7737.16503;3965.598051;1048.319436;-12568.09013;;;349.0925047;155.9708748;206.9203561;-32.63991807;99.10047109;-64.05504813;;;8965.67;-202.75;776.54;112.56;-689.85;-958.13;;;-1036.835613;-3488.307157;-1591.777809;-1664.571066;4168.872438;4066.405792;;;30708.50708;4284.053997;9535.863195;5597.529199;-3021.45253;-16698.55097;;;99640.84;95064.3;96177.5;95924.92;94768.14;94517.11;;;-1430.17;-6964.62;-6682.03;-7202.97;-6756.74;-6794.08;;;-15303.43;-14360.85;-14777.35;-14667.8;-14759.67;-14739.57;;
23;24;74;124;274;174;224;324;374;41.54372029;1.942079275;13.3135954;6.465044961;1.929247385;2.012942853;;;1.515623445;0.542885478;0.79475238;0.542916334;0.543256608;0.538640563;;;33759.13524;4758.523346;11686.71638;7016.256828;6140.657519;-8421.623623;;;139.6440765;-4.162794076;119.1346506;37.37210208;-207.0213388;215.3940121;;;10605.01;292.91;1701.99;759.93;-152.68;-301.78;;;-1200.333549;-4753.694031;-2086.320173;-2763.299145;2445.113394;2998.076471;;;35099.11287;9508.054583;13892.17121;9816.928075;3488.522786;-11204.30608;;;100089.93;95601.6;97040.94;96759.69;95482.45;95220.21;;;-161.87;-6749.86;-6443.36;-7157.64;-6673.35;-6579.83;;;-15381.47;-14617.25;-14953.99;-14900.55;-15020.17;-15000.58;;
