Year;CAP_COST_Alkaline_base;CAP_COST_Alkaline_peak_supported;CAP_COST_Alkaline_base_supported;CAP_COST_Alkaline_peak;ELEC_COST_Alkaline_base;ELEC_COST_Alkaline_peak_supported;ELEC_COST_Alkaline_base_supported;ELEC_COST_Alkaline_peak;H2_REV_Alkaline_base;H2_REV_Alkaline_peak_supported;H2_REV_Alkaline_base_supported;H2_REV_Alkaline_peak;SUPPORT_Alkaline_peak_supported;SUPPORT_Alkaline_base_supported
2021.0;202.4999999998956;0.0;0.0;151.87499999998312;3.086690204902001e-7;-0.0;-0.0;1.4712504993241705e-7;9.202816799095552e-8;0.0;0.0;3.605377490737124e-8;0.0;0.0
2022.0;495.6187499626998;0.0;0.0;371.71406249948683;34.70357855628489;-0.0;-0.0;37.54689715681833;54.945379057453174;0.0;0.0;52.35574232346798;0.0;0.0
2023.0;1213.0268905542616;0.0;0.0;909.7701679677227;5.363890156294595;-0.0;-0.0;6.257871500839566;26.614186254589512;0.0;0.0;26.614186147212685;0.0;0.0
2024.0;2690.3480800286325;0.0;0.0;2017.7610601321835;85.88659946754892;-0.0;-0.0;73.78392413031128;412.0804708548474;0.0;0.0;388.07942778357165;0.0;0.0
2025.0;5978.337769263017;0.0;0.0;4483.753327193334;372.28342457201137;-0.0;-0.0;244.7495915930772;1148.898456547262;0.0;0.0;971.0576875854277;0.0;0.0
2026.0;5.6886998855225534e-8;0.0;0.0;9971.220274878879;1524.4461499844522;-0.0;-0.0;848.5158138289203;3392.834426946699;0.0;0.0;2520.952006179584;0.0;0.0
2027.0;4.857667263814318e-9;0.0;0.0;218.60957474081084;2030.4449614630707;-0.0;-0.0;2961.4736643739784;3525.827562851864;0.0;0.0;5944.984994039308;0.0;0.0
2028.0;1.913945894098163e-9;0.0;0.0;1.3740432936658671e-9;1743.497571818516;-0.0;-0.0;2659.004954266755;3276.440690840828;0.0;0.0;5885.912229103961;0.0;0.0
2029.0;1.0153986995034381e-9;0.0;0.0;5.425670731901752e-10;1445.0991063747815;-0.0;-0.0;2325.3256466618836;2991.7642760311733;0.0;0.0;5698.977452032315;0.0;0.0
2030.0;5.933629272603909e-10;21392.87229603474;21111.510076638646;2.7632660521017934e-10;1126.7582888470415;-0.0;-0.0;1900.221966891638;2781.2930544753513;0.0;0.0;5691.4662253990455;0.0;0.0
2031.0;6.753160572342968e-10;0.0;0.0;3.092354612834768e-10;271.4954366294986;5990.153150156518;10106.221981627677;310.0372549458094;365.5872518116587;-3605.848105128655;-515.2862060190772;452.5271792464188;0.0;0.0
2032.0;7.944445330877393e-10;0.0;0.0;3.55411912408889e-10;275.3254916626853;5456.294897881302;7441.08355717355;271.26062749580854;365.8662363224971;-1024.876579351407;458.17141881604164;410.2752868760314;0.0;0.0
2033.0;9.868709301341306e-10;0.0;0.0;4.2397155176712007e-10;245.94230411197896;4359.300608447965;5281.567938476108;189.60314411030492;328.65613906324916;2472.4799365350555;3535.836628636497;326.95392206534063;0.0;0.0
2034.0;1.3258031887495352e-9;0.0;0.0;5.342232703277388e-10;554.0056801918128;3354.9764716901363;4181.286280467093;170.56716018291803;644.1778559288604;2957.833264187944;4111.035543262053;316.6971066923096;0.0;0.0
2035.0;1.897688580228845e-9;0.0;0.0;7.392847140943536e-10;680.2727679855597;2790.840633616163;3619.722011561327;165.5359227761225;813.8865207169848;2928.9516244881006;4085.620089449507;316.6523929105103;0.0;0.0
