Hour;EOM_price;H2_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;159.18194366204028;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.2941115638064364e-12;-0.0;-1.1761858147113091e-14;-2.0315913439810988e-14;-0.06415531089818083;0.03341923942953134;0.0026727300028312408;2.6421754016674755e-13;0.23182392088708062;0.047088000000000005;0.00015659528392037862;2.7140359952742264e-12
2.0;159.18194147549758;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.2941116257486965e-12;-0.0;-1.1761858442190539e-14;-2.0315913929931657e-14;-0.06415531089818086;0.03328519638996406;0.002358089998157173;2.642174821710081e-13;0.22665155595449854;0.047088000000000005;0.00016442515770077336;2.714035801182913e-12
3.0;159.18194004034635;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.2941116664241424e-12;-0.0;-1.1761858635958203e-14;-2.0315914251779232e-14;-0.06415531089818084;0.03388757953791419;0.0027257399980052523;2.642174440871474e-13;0.2232689551659224;0.047088000000000005;0.00020357408829812433;2.7140356737296836e-12
4.0;159.1819392346928;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.2941116892568064e-12;-0.0;-1.1761858744727456e-14;-2.031591443244388e-14;-0.06415531089818084;0.0350397313006039;0.0034730100074294133;2.6421742270922183e-13;0.2213691398689306;0.047088000000000005;0.0002231483344444885;2.714035602185178e-12
5.0;159.18193652220492;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.294111766106247e-12;-0.0;-1.1761859110818995e-14;-2.0315915040521796e-14;-0.06415531089818084;0.042015060230056994;0.0034003350077713977;2.64217350756165e-13;0.21495725913012936;0.047088000000000005;0.00024663751748104994;2.7140353613838027e-12
6.0;159.18193519974056;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.2941118035718285e-12;-0.0;-1.1761859289295733e-14;-2.031591533696911e-14;-0.06415531089818084;0.052178537343659806;0.0037628549977014756;2.642173156776631e-13;0.21182951330814562;0.047088000000000005;0.0002544673912614447;2.7140352439882622e-12
7.0;159.18193389797509;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.2941118404487895e-12;-0.0;-1.1761859464968418e-14;-2.0315915628761918e-14;-0.06415531089818087;0.07127123748718388;0.004191210000893569;2.642172811502978e-13;0.2087481043669895;0.047088000000000005;0.00025838232815164207;2.714035128436921e-12
8.0;159.18286725218118;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.2940851457122305e-12;-0.0;-1.1761732297853692e-14;-2.031570440464952e-14;-0.06415531089818086;0.091274552835994;0.0034482149930274084;2.6424227768119104e-13;0.2072421525570321;0.047088000000000005;0.0016090162698663363;2.7141187777877407e-12
9.0;169.26639866705162;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.0420309339730094e-12;-0.0;-1.0555457613137467e-14;-1.829959135624311e-14;-0.06415531089818083;0.09179999999995792;0.0033550200073568038;0.003278169433323934;0.20757230283292902;0.047088000000000005;0.009360482174615868;4.025546342368904e-12
10.0;159.18192799171248;101.35689553704945;-0.0043975209984181965;-0.006785801743062413;-2.2941120235526853e-12;-0.0;-1.1761860337229465e-14;-2.031591707758007e-14;-0.06415531089818086;0.08807519869373091;0.002602620001425226;2.642171097130058e-13;0.2047978767882755;0.047088000000000005;0.02826936130335339;2.7140345546957627e-12
