Hour;EOM_price;H2_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;155.27255669662404;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.8631736202283599e-13;-0.0;-1.3923852916076905e-13;-9.66964996725542e-14;-0.061653699426947074;0.02016792810603423;0.002672729999202497;2.1210370127990035e-11;0.24503396986760032;0.047088000000000005;0.00016462721813636708;8.704819094588519e-13
2.0;155.2725566283867;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.8631736216990935e-13;-0.0;-1.3923852926289596e-13;-9.66964997407449e-14;-0.06165369942694707;0.020328191664019214;0.002358089994522943;2.1210369920008705e-11;0.23956686747288275;0.047088000000000005;0.00017285869428620572;8.704819076459822e-13
3.0;155.27255658776508;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.863173622564725e-13;-0.0;-1.3923852932300307e-13;-9.66964997808777e-14;-0.06165369942694706;0.021121299276610606;0.002725739994377433;2.1210369797600863e-11;0.23599151555695255;0.047088000000000005;0.0002140156142496767;8.70481906579126e-13
4.0;155.27255656471306;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.8631736230566552e-13;-0.0;-1.3923852935716224e-13;-9.669649980368656e-14;-0.06165369942694704;0.02238069393859585;0.003473010003814626;2.1210369728034974e-11;0.2339834428677504;0.047088000000000005;0.00023459384383855083;8.704819059728026e-13
5.0;155.27255648202583;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.8631736248345927e-13;-0.0;-1.3923852948061814e-13;-9.669649988611825e-14;-0.06165369942694708;0.029720150996018543;0.0034003350041553427;2.1210369476613427e-11;0.2272061931959559;0.047088000000000005;0.00025928781150234435;8.704819037813944e-13
6.0;155.2725564414074;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.863173625708916e-13;-0.0;-1.3923852954132948e-13;-9.669649992665414e-14;-0.06165369942694708;0.040061437617376155;0.0037628549940917433;2.121036935297474e-11;0.22390021867630833;0.047088000000000005;0.0002675192876521831;8.704819027037849e-13
7.0;155.27255640114095;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.8631736265765995e-13;-0.0;-1.3923852960157876e-13;-9.669649996688267e-14;-0.061653699426947046;0.05932950789766714;0.0041912099972913055;2.1210369230277386e-11;0.22064322145726464;0.047088000000000005;0.00027163502572710247;8.704819016343437e-13
8.0;155.27255653958503;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.8631736231997962e-13;-0.0;-1.3923852936710133e-13;-9.669649981032339e-14;-0.06165369942694704;0.07933273144443226;0.0034482149894121883;2.121036970779221e-11;0.21905145582319574;0.047088000000000005;0.0016915443870024883;8.70481905796303e-13
9.0;155.2725574472442;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.8631736013840708e-13;-0.0;-1.3923852785225737e-13;-9.669649879886123e-14;-0.06165369942694706;0.08273805288218969;0.0033550200037365425;2.121037279278381e-11;0.21940041908999863;0.047088000000000005;0.009840591039697902;8.70481932685153e-13
10.0;155.2725596101817;98.96441886192545;-0.0072899905693754935;-0.006395473773135683;-1.8631735492750203e-13;-0.0;-1.3923852423390118e-13;-9.669649638288356e-14;-0.06165369942694706;0.07492220319744063;0.0026026199977952596;2.121038016160153e-11;0.21646789760893645;0.047088000000000005;0.029719326244624818;8.70481996911695e-13
