Hour;EOM_price;H2_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;159.45421135164347;99.34992426742893;-6.044684706217533e-10;-0.0027984250833818377;-1.5882305186028843e-12;-0.0;-1.2950388515449103e-13;-4.546464384750628e-14;-0.0725135722547802;0.037908410041958385;0.002672730002321366;1.2461534452247605e-12;0.22733720741170468;0.047088000000000005;0.0001508579116774314;2.423273217464231e-13
2.0;159.4542148573279;99.34992426742893;-6.044684706217533e-10;-0.0027984250833817587;-1.5882304546605117e-12;-0.0;-1.29503880307707e-13;-4.546464220609298e-14;-0.0725135722547802;0.0376745937583402;0.00235808999764667;1.2461538545647543e-12;0.22226494828077484;0.047088000000000005;0.00015840091292586484;2.4232734806384637e-13
3.0;159.45421714548678;99.34992426742893;-6.044684706217533e-10;-0.0027984250833817587;-1.5882304129350833e-12;-0.0;-1.2950387714495124e-13;-4.546464113499102e-14;-0.07251357225478022;0.0382129744441344;0.0027257399974954834;1.2461541216789e-12;0.218947814250253;0.047088000000000005;0.00019611549692211054;2.4232736523709817e-13
4.0;159.45421843093828;99.34992426742893;-6.044684706217533e-10;-0.0027984250833817587;-1.5882303894936844e-12;-0.0;-1.2950387536811074e-13;-4.54646405332458e-14;-0.07251357225478022;0.03932909121685663;0.003473010006921136;1.2461542717437837e-12;0.21708476792369844;0.047088000000000005;0.0002149725777972724;2.4232737488507434e-13
5.0;159.4542227749566;99.34992426742893;-6.044684706217533e-10;-0.0027984250833817587;-1.5882303102644286e-12;-0.0;-1.2950386936259208e-13;-4.546463849941345e-14;-0.07251357225478022;0.04618124205185997;0.0034003350072629754;1.246154778946947e-12;0.21079698253969567;0.047088000000000005;0.0002376011592966536;2.4232740749418845e-13
6.0;159.45422489449277;99.34992426742893;-6.044684706217533e-10;-0.0027984250833817587;-1.5882302716058614e-12;-0.0;-1.2950386643230153e-13;-4.546463750703966e-14;-0.07251357225478021;0.05628449936290397;0.0037628549971937767;1.2461550264281677e-12;0.20772977102009688;0.047088000000000005;0.00024514416054509017;2.42327423405266e-13
7.0;159.4542269831902;99.34992426742893;-6.044684706217533e-10;-0.0027984250833817587;-1.588230233509263e-12;-0.0;-1.2950386354461078e-13;-4.5464636529094273e-14;-0.07251357225478024;0.07531773264306396;0.004191210000386724;1.2461552703116696e-12;0.20470799957867117;0.047088000000000005;0.00024891566116930854;2.423274390850432e-13
8.0;169.6847073067098;99.34992426742893;-6.044684706217533e-10;-0.0027984250833817587;-1.4144871314700061e-12;-0.0;-1.1627299337047453e-13;-4.0957764431853643e-14;-0.07251357225478021;0.09179999999836189;0.0034482149925536;0.0035321773719538254;0.2032311939165888;0.047088000000000005;0.001550064797828428;3.61790954684764e-13
9.0;169.68470611720633;99.34992426742893;-6.044684706217533e-10;-0.0027984250833817587;-1.414487150537355e-12;-0.0;-1.162729948295775e-13;-4.0957764931686414e-14;-0.07251357225478025;0.09179999999836189;0.003355020006879394;0.0076441917239898835;0.20355495447357236;0.047088000000000005;0.009017530894546806;3.617909327773508e-13
10.0;169.68470275662176;99.34992426742893;-6.044684706217533e-10;-0.0027984250833817587;-1.414487205919387e-12;-0.0;-1.162729990676083e-13;-4.095776638347422e-14;-0.07251357225478024;0.09179999999836189;0.002602620000949731;0.0012790012044439235;0.20083422459052913;0.047088000000000005;0.02723362260624832;3.6179086914627537e-13
