Hour;EOM_price;H2_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;158.87570846015444;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.8502046850761867e-14;-0.0;-2.9418962326548845e-14;-2.0497622313146932e-14;-0.06392520823720847;0.0337584844201617;0.0026727300025435343;3.1459477165778694e-13;0.23147847372139352;0.047088000000000005;0.00015783630301325258;1.4200462905366637e-12
2.0;158.87570720836797;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.850204789909253e-14;-0.0;-2.941896291754657e-14;-2.0497622708998495e-14;-0.0639252082372085;0.03361672839051073;0.002358089997869133;3.14594714106363e-13;0.2263138162712764;0.047088000000000005;0.00016572822861462451;1.4200462090080882e-12
3.0;158.87570641317095;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.8502048570573354e-14;-0.0;-2.941896329609439e-14;-2.0497622962550255e-14;-0.06392520823720849;0.034213797896107304;0.002725739997717602;3.1459467724336113e-13;0.22293625598865904;0.047088000000000005;0.00020518741484325793;1.4200461567869353e-12
4.0;158.8757059648915;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.8502048948701927e-14;-0.0;-2.941896350926647e-14;-2.049762310533322e-14;-0.06392520823720851;0.0353629844030963;0.0034730100071425547;3.1459465648466266e-13;0.22103927165840664;0.047088000000000005;0.00022491678706846777;1.4200461273796306e-12
5.0;158.875704422624;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.850205024253438e-14;-0.0;-2.941896423866589e-14;-2.0497623593886467e-14;-0.0639252082372085;0.04232864280840772;0.003400335007484462;3.1459458545576044e-13;0.21463694543847736;0.047088000000000005;0.00024859212209435406;1.4200460267580721e-12
6.0;158.87570366781924;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.850205087515549e-14;-0.0;-2.9418964595307154e-14;-2.0497623832765666e-14;-0.0639252082372085;0.05248743132908391;0.0037628549974149236;3.1459455072604605e-13;0.21151386035609568;0.047088000000000005;0.00025648404769571274;1.4200459775592305e-12
7.0;158.87570292182886;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.8502051499805696e-14;-0.0;-2.9418964947454057e-14;-2.0497624068634824e-14;-0.06392520823720849;0.07157554241767934;0.00419121000060747;3.1459451643394897e-13;0.20843704310668804;0.047088000000000005;0.000260430010496392;1.4200459289801539e-12
8.0;167.0582384359584;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.408247781949133e-14;-0.0;-2.6918023824786094e-14;-1.8813758913134382e-14;-0.06392520823720849;0.09179999999999311;0.003448214992757559;2.0437268321421767e-12;0.20693333535672154;0.047088000000000005;0.001621767738496955;1.9334262504452805e-12
9.0;168.54538239656367;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.3361268946556425e-14;-0.0;-2.6508027620144397e-14;-1.8536077909581042e-14;-0.06392520823720853;0.09179999999999418;0.0033550200070863617;0.0035110805935710484;0.20726299366666254;0.047088000000000005;0.009434664081078572;2.0695525696155163e-12
10.0;158.8757212824129;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.8502040678697585e-14;-0.0;-2.941895884703844e-14;-2.0497619982564344e-14;-0.0639252082372085;0.08815178865125659;0.0026026200011374447;3.145951104932173e-13;0.20449270187013902;0.047088000000000005;0.028493396249003277;1.4200467705394402e-12
11.0;158.87573624778722;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.850203202012313e-14;-0.0;-2.9418953965752344e-14;-2.0497616713069258e-14;-0.06392520823720849;0.07613906934115959;0.0015612299998821176;3.1459558583525436e-13;0.1984836532899282;0.047088000000000005;0.052567375568534865;1.4200474439192595e-12
12.0;158.87574865620297;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.850202490217701e-14;-0.0;-2.941894995299943e-14;-2.0497614025319735e-14;-0.06392520823720851;0.0648764513173976;0.0010165949999194237;3.145959766002968e-13;0.19241677097793916;0.047088000000000005;0.07288485219875655;1.4200479974844487e-12
13.0;158.87575347019768;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.8502022071917556e-14;-0.0;-2.941894835743548e-14;-2.0497612956607635e-14;-0.06392520823720851;0.05893119762068691;0.0007865999912171309;3.1459613197788853e-13;0.1912658554543927;0.047088000000000005;0.08033867078603528;1.4200482175951417e-12
14.0;158.87575140410058;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.850202312177535e-14;-0.0;-2.941894894929492e-14;-2.049761335303657e-14;-0.06392520823720854;0.05699335328142391;0.0006993899969930201;3.145960743420001e-13;0.19464341467757074;0.047088000000000005;0.0761126042665607;1.4200481359472454e-12
15.0;158.8757445423758;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.8502027046065176e-14;-0.0;-2.941895116161956e-14;-2.0497614834855814e-14;-0.06392520823720849;0.0605389996186334;0.0007147799999190396;3.145958589037983e-13;0.19820604523264482;0.047088000000000005;0.06480363436173323;1.420047830753375e-12
16.0;158.87573301802328;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.8502033723433414e-14;-0.0;-2.9418954925995944e-14;-2.0497617356242574e-14;-0.06392520823720849;0.07184519000311629;0.0007310249977910602;3.1459549232611633e-13;0.20267668518815182;0.047088000000000005;0.04634862610852014;1.4200473114522815e-12
17.0;158.87571932486577;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.850204190590807e-14;-0.0;-2.9418959538878893e-14;-2.0497620445960677e-14;-0.06392520823720849;0.08783328095135182;0.0005335200116608093;3.145950431215633e-13;0.20363096136211944;0.047088000000000005;0.025944340063796215;1.4200466750989275e-12
18.0;168.54538169835843;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.336126957005229e-14;-0.0;-2.6508027974833425e-14;-1.853607814999838e-14;-0.06392520823720847;0.09179999999999418;0.0006198749975448765;0.012472818453284898;0.20103417287982517;0.047088000000000005;0.010586868873084626;2.069552441611798e-12
19.0;168.54537570676555;101.13697584641916;-0.005230151534988065;-0.006192361404593453;-4.336127245114216e-14;-0.0;-2.6508029613798913e-14;-1.853607926093264e-14;-0.06392520823720846;0.09179999999999418;0.0005694300006228123;0.020757056338736677;0.2013869661656913;0.047088000000000005;0.0015152289517705406;2.069551850122239e-12
