Hour;EOM_price;H2_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;166.0797927846198;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920969008611704e-14;-1.3190270619072324e-12;-2.1196340751999015e-11;-3.764379312670345e-14;-0.06740632677106513;0.006024923368095146;0.002532060002599118;8.246752401291303e-12;0.2656738959038693;0.043163999999992195;0.0002046025534281609;3.918459861039642e-13
2.0;166.07979792144013;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920968425721911e-14;-1.3190269185918663e-12;-2.1196337015065486e-11;-3.7643791149743404e-14;-0.0674063267710651;0.006600478716406418;0.002233979998170481;8.246754849077554e-12;0.2597462835271252;0.043163999999992195;0.00021483282427696359;3.918460481773551e-13
3.0;166.07980126860332;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.92096804611332e-14;-1.3190268252581115e-12;-2.1196334581376713e-11;-3.764378986224163e-14;-0.0674063267710651;0.007697499452274436;0.002582279998027226;8.246756443203487e-12;0.2558697692901573;0.043163999999992195;0.000265983605845717;3.918460886027573e-13
4.0;166.07980314895568;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920967832854e-14;-1.319026772824189e-12;-2.1196333214153996e-11;-3.7643789138940036e-14;-0.06740632677106513;0.009165218988546076;0.0032902200069567407;8.246757338765467e-12;0.25369255078087577;0.043163999999992195;0.00029155871029246355;3.9184611131331123e-13
5.0;166.079809512879;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920967110785758e-14;-1.3190265952902658e-12;-2.119632858497622e-11;-3.764378668993451e-14;-0.06740632677106513;0.01707081080534319;0.0032213700072805935;8.246760371019341e-12;0.24634443360025915;0.043163999999992195;0.0003222489501636114;3.9184618820812437e-13
6.0;166.07981261875076;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920966758359895e-14;-1.3190265086392135e-12;-2.1196326325524578e-11;-3.7643785494627827e-14;-0.06740632677106508;0.027741115784330864;0.003564809997741329;8.246761850999312e-12;0.2427599872034259;0.043163999999992195;0.00033247922101241415;3.9184622573885973e-13
7.0;166.07981567974196;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920966411008994e-14;-1.3190264232353445e-12;-2.119632409863762e-11;-3.764378431653361e-14;-0.06740632677106513;0.04740281645633046;0.003970620000766198;8.246763309667802e-12;0.23922864360809132;0.043163999999992195;0.0003375943564368155;3.9184626272913595e-13
8.0;166.07981672509553;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920966299850935e-14;-1.319026395905667e-12;-2.1196323386005302e-11;-3.764378393952343e-14;-0.06740632677106516;0.06734294338141374;0.0032667299933126902;8.246763776465674e-12;0.237502798911548;0.043163999999992195;0.002102290880143834;3.918462745667626e-13
9.0;166.07981381110633;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920966673337219e-14;-1.3190264877348158e-12;-2.1196325780409e-11;-3.7643785206260064e-14;-0.06740632677106512;0.06889245418993148;0.0031784400068845015;8.246762208043552e-12;0.23788115637222554;0.043163999999992195;0.012230116424318729;3.91846234793127e-13
10.0;166.0798102620659;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920967180447452e-14;-1.3190266124177698e-12;-2.1196329031528654e-11;-3.76437869262012e-14;-0.0674063267710651;0.056525256569222915;0.0024656400012669764;8.246760078481954e-12;0.23470162005276538;0.043163999999992195;0.03693587291029434;3.9184618078971015e-13
11.0;166.07980827595455;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920967537669398e-14;-1.3190267002463257e-12;-2.1196331321707427e-11;-3.764378813777523e-14;-0.06740632677106512;0.0382305229421425;0.0014790600000768692;8.246758578365098e-12;0.22780487790083312;0.043163999999992195;0.0681428737472919;3.9184614274824246e-13
12.0;166.07980759047808;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920967726717852e-14;-1.3190267467287144e-12;-2.1196332533706325e-11;-3.764378877896299e-14;-0.06740632677106512;0.021818693508937104;0.000963090000111774;8.246757784475196e-12;0.22084175846297383;0.043163999999992195;0.09448033552664117;3.918461226160105e-13
13.0;166.0798062689436;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920967917513139e-14;-1.3190267936390276e-12;-2.1196333756897478e-11;-3.7643789426071875e-14;-0.06740632677106513;0.013792201842837984;0.000745199991867316;8.246756983246548e-12;0.2195208226278574;0.043163999999992195;0.10414269004662337;3.9184610229771464e-13
14.0;166.07980430578243;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920968117160945e-14;-1.3190268427256255e-12;-2.1196335036894507e-11;-3.7643790103211295e-14;-0.06740632677106514;0.012557001741368052;0.0006625799973391442;8.246756144847712e-12;0.2233973356488791;0.043163999999992195;0.09866445731824966;3.9184608103674305e-13
15.0;166.07980450279422;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920968032870352e-14;-1.3190268220030314e-12;-2.1196334496457036e-11;-3.7643789817325074e-14;-0.0674063267710651;0.018887998010073227;0.0006771600001111743;8.246756498818149e-12;0.22748625987589527;0.043163999999992195;0.0840046859276843;3.9184609001310027e-13
16.0;166.0798061606788;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920967743666573e-14;-1.319026750896455e-12;-2.1196332642354343e-11;-3.7643788836447195e-14;-0.06740632677106509;0.034987403468669125;0.0006925499980952064;8.246757713299613e-12;0.23261733023016026;0.043163999999992195;0.06008153428081214;3.918461208111024e-13
17.0;166.0798119633265;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920966973420412e-14;-1.319026561516033e-12;-2.1196327704271698e-11;-3.764378622403795e-14;-0.0674063267710651;0.056873292531003;0.000505440011234821;8.246760947873593e-12;0.23371257794296138;0.043163999999992195;0.03363154181282714;3.91846202836555e-13
18.0;166.07981962150896;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920966020471329e-14;-1.3190263272146276e-12;-2.1196321594930415e-11;-3.76437829919638e-14;-0.0674063267710651;0.07830570197745097;0.0005872499978429882;8.246764949693988e-12;0.2307321759131749;0.043163999999992195;0.013723714779259296;3.918463043185364e-13
19.0;183.02308645788239;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-8.276088787363931e-14;-9.622499455479878e-13;-1.3213288192436188e-11;-3.197278028115835e-14;-0.06740632677106513;0.08414999999840417;0.000539460000772056;0.005103350854259052;0.23113708599054816;0.04316399999999296;0.0019641850870771834;8.389630811711523e-13
20.0;183.02308477266024;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-8.276088917466416e-14;-9.622499704234672e-13;-1.3213288669964638e-11;-3.1972780737191746e-14;-0.06740632677106509;0.08414999999840417;0.0005305500026080376;0.0026090523311953044;0.2335333547719576;0.04316399999999296;0.0003887445653461937;8.389629908508877e-13
21.0;166.07982244986815;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920965643357133e-14;-1.3190262344938267e-12;-2.119631917719113e-11;-3.7643781712922856e-14;-0.0674063267710651;0.08193994048760077;0.0006285599951070736;8.246766533351123e-12;0.23170794232260422;0.043163999999992195;0.0003222489501636114;3.918463444783619e-13
22.0;166.07982813190281;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.920964998025554e-14;-1.3190260758268438e-12;-2.1196315039949137e-11;-3.764377952418195e-14;-0.06740632677106508;0.07794329161754708;0.0006309900061590786;8.246769243365209e-12;0.22486430418811673;0.043163999999992195;0.0003222489501636114;3.918464132016129e-13
23.0;166.0798287380478;105.47373506637668;-0.007914284572779075;-0.005674942454603102;-9.92096492903958e-14;-1.3190260588638502e-12;-2.1196314597683736e-11;-3.764377929020616e-14;-0.0674063267710651;0.06797870788569234;0.00070875000399924;8.246769533065366e-12;0.22417396533674244;0.043163999999992195;0.0003222489501636114;3.918464205480107e-13
24.0;166.07982944366557;105.47373506637668;-0.007914284820485853;-0.005674942454603104;-9.920964848901833e-14;-1.3190260391614307e-12;-2.1196314083919948e-11;-3.764377901840463e-14;-0.06740632677106509;0.05837312373947819;0.0007873199970514043;8.246769869595526e-12;0.22336414639794247;0.043163999999992195;0.0003120192519900689;3.9184642908208477e-13
25.0;9.999889397790422;-72.61265383420442;-0.0;-0.0;-0.0;-0.058884068686126854;-0.03923247208949204;-0.0;-7.739986876828398e-13;0.0;0.006969240000236242;0.0;0.44775716200677046;0.008216739797711469;0.00013299122651785273;0.0
