Hour;EOM_price;H2_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;100.36087633273253;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-5.032621824670651e-12;-6.03602192364417e-13;-0.007755034879338539;-5.718065455962796e-13;-0.0955283802509686;2.3087332469596458e-14;0.001969380001867335;2.9168448006305175e-14;0.30878864120421756;0.027467999999991402;0.00021254214489854753;0.0
2.0;100.36087245750576;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-5.032623141336942e-12;-6.036023818577628e-13;-0.006800424848648315;-5.718066292115798e-13;-0.09552838025096863;2.3087331556323833e-14;0.001737539998423043;2.9168447229946894e-14;0.3018990694411593;0.027467999999991402;0.00022316940111962892;0.0
3.0;100.36086983598578;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-5.032624032503904e-12;-6.036025102332147e-13;-0.005558078178161153;-5.718066858054033e-13;-0.09552838025096859;2.3087330938188583e-14;0.0020084399983113844;2.916844670448041e-14;0.2973934571762802;0.027467999999991402;0.0002763050873271303;0.0
4.0;100.36086838047768;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-5.032624528834864e-12;-6.036025817581361e-13;-0.0041604765716521785;-5.718067173250494e-13;-0.09552838025096864;2.3087330593921303e-14;0.002559060005256079;2.9168446411825687e-14;0.29486290993226605;0.027467999999991402;0.0003028726329819278;0.0
5.0;194.64236464633612;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-6.015505234447444e-13;-6.105067479500624e-14;-2.2921903378004127e-12;-1.141741032970717e-13;-0.09552838025096858;0.003187378980011086;0.0025055100056354767;8.916498745824156e-14;0.2863223075073479;0.0274679999999958;0.0003347538091854383;1.8028188424207766e-14
6.0;194.6423622941236;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-6.015505368946883e-13;-6.105067619215186e-14;-2.2921903948850612e-12;-1.1417410558312022e-13;-0.09552838025096856;0.014648859596741668;0.0027726299982158134;8.916498305051273e-14;0.282156161154947;0.0274679999999958;0.0003453810654065208;1.8028187263479496e-14
7.0;194.64235998634436;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-6.015505500743379e-13;-6.105067756116324e-14;-2.2921904508227656e-12;-1.1417410782323033e-13;-0.09552838025096862;0.035364273272057656;0.003088260000568211;8.916497873135685e-14;0.2780517353636241;0.0274679999999958;0.0003506946935170621;1.8028186126083536e-14
8.0;229.82426480960692;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-4.4550187906181016e-13;-4.4933575830805925e-14;-1.6440436301906593e-12;-8.696590326909577e-14;-0.09552838025096859;0.05354999999994232;0.002540789994792292;3.836161078661965e-13;0.2760458128887825;0.027467999999996474;0.0021838702165431997;0.0025431177579170695
9.0;229.82424410344058;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-4.4550194441464263e-13;-4.4933582541639435e-14;-1.6440438963936494e-12;-8.696591496317064e-14;-0.09552838025096859;0.05354999999994232;0.0024721200053482053;3.836153969670414e-13;0.27648557188646156;0.027467999999996474;0.012704705745836074;0.0042483133016169876
10.0;194.64228108734721;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-6.015509970405935e-13;-6.10507239899071e-14;-2.2921923478457792e-12;-1.141741837928573e-13;-0.0955283802509686;0.04511753516823432;0.001917720000958735;8.916483225464373e-14;0.27279004622554237;0.0274679999999958;0.038369168416323554;1.8028147553207238e-14
11.0;194.6422118318251;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-6.015513894613252e-13;-6.105076475285918e-14;-2.292194013370663e-12;-1.1417425049152152e-13;-0.09552838025096864;0.026585116680317777;0.0011503800000337665;8.916470365377862e-14;0.26477406998298897;0.0274679999999958;0.07078715604224536;1.8028113687751182e-14
12.0;194.64215263930814;122.30306375662823;-2.592807229740366e-9;-0.007046666666647749;-6.015517248968284e-13;-6.105079959619822e-14;-2.2921954370344076e-12;-1.1417430750455912e-13;-0.09552838025096864;0.010180069386342116;0.0007490700000612601;8.916459372807004e-14;0.25668094445236384;0.0274679999999958;0.09814664228447656;1.8028084740187598e-14
