Hour;EOM_price;H2_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;166.0878122034791;105.45658533516537;-0.0062122386098082665;-0.003974105926783843;-1.5735231103816926e-13;-2.541933214853698e-14;-7.086618574154203e-13;-2.5053839750883224e-14;-0.07080715281019309;0.011593797260074649;0.0025320600024152525;1.8207733055535263e-12;0.26010120630681743;0.04316399999999823;0.00021374029968281965;1.6924077848945156e-14
2.0;166.08781207687696;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.573523111221613e-13;-2.541933216650231e-14;-7.086618580411954e-13;-2.5053839762839376e-14;-0.07080715281019308;0.012044473064415823;0.002233979997986782;1.8207733003515554e-12;0.254297929607513;0.04316399999999823;0.00022442746424641548;1.6924077824525556e-14
3.0;166.08781199222275;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231118044876e-13;-2.541933217893587e-14;-7.08661858474651e-13;-2.5053839771136628e-14;-0.07080715281019309;0.013057840511746875;0.002582279997843332;1.8207732967416875e-12;0.2505027278776938;0.04316399999999823;0.0002778626888129077;1.6924077807579663e-14
4.0;166.08781194485553;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231121286673e-13;-2.541933218585058e-14;-7.086618587158129e-13;-2.505383977575115e-14;-0.07080715281019308;0.014478717524129178;0.003290220006772451;1.820773294733991e-12;0.24837117799872746;0.04316399999999823;0.0003045800019704103;1.6924077798155943e-14
5.0;166.08781178737178;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231131798218e-13;-2.5419332208291087e-14;-7.086618594976795e-13;-2.5053839790714717e-14;-0.07080715281019306;0.022228699407422732;0.003221370007096342;1.8207732882237822e-12;0.2411771925442579;0.04316399999999823;0.00033664089740971086;1.6924077767595497e-14
6.0;166.08781171080884;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231136879462e-13;-2.5419332219134908e-14;-7.08661859876218e-13;-2.50538397979477e-14;-0.07080715281019309;0.03282330878749309;0.0035648099975568847;1.820773285076683e-12;0.23766793233415054;0.04316399999999823;0.0003473280619733067;1.6924077752819337e-14
7.0;166.08781163565544;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231141836366e-13;-2.541933222970731e-14;-7.086618602443651e-13;-2.5053839805003373e-14;-0.0708071528101931;0.05241065688714945;0.0039706200005815255;1.820773282006822e-12;0.23421066105837593;0.04316399999999823;0.00035267164425510454;1.692407773841153e-14
8.0;166.08781152384958;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231157802689e-13;-2.541933226380266e-14;-7.08661861433127e-13;-2.505383982773226e-14;-0.07080715281019309;0.07223576625553538;0.003266729993128414;1.820773272118201e-12;0.2325210171212383;0.04316399999999823;0.002196181208409961;1.6924077691990866e-14
9.0;166.0878110976415;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231235586393e-13;-2.5419332429830088e-14;-7.086618672200568e-13;-2.505383993845693e-14;-0.07080715281019306;0.07334102439590813;0.0031784400067002743;1.820773223944081e-12;0.23289143827835926;0.04316399999999823;0.012776325161749593;1.6924077465852288e-14
10.0;166.0878099697824;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231431234793e-13;-2.541933284742705e-14;-7.086618817761866e-13;-2.505384021696436e-14;-0.07080715281019309;0.05980400653341718;0.0024656400010831477;1.820773102772241e-12;0.22977859488298014;0.04316399999999823;0.03858546444418098;1.692407689704768e-14
11.0;166.08780848426693;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231682335293e-13;-2.5419333383427163e-14;-7.086619004591206e-13;-2.505384057440736e-14;-0.0708071528101931;0.03997115485331234;0.001479059999893588;1.820772947256948e-12;0.22302651656078007;0.04316399999999823;0.07118619989003662;1.692407616702363e-14
12.0;166.08780720618728;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.573523189586588e-13;-2.5419333839181062e-14;-7.086619163463909e-13;-2.5053840878369577e-14;-0.07080715281019306;0.022237232808375976;0.0009630899999287726;1.8207728150099872e-12;0.21620945326110483;0.04316399999999823;0.09869991799030206;1.6924075546226195e-14
13.0;166.0878067633532;105.45658533516537;-0.006212238653499116;-0.003974105926785174;-1.5735231972507141e-13;-2.5419334002772184e-14;-7.086619220488189e-13;-2.5053840987468156e-14;-0.07080715281019308;0.013751602350408431;0.0007451999916844281;1.8207727675434427e-12;0.21491622494825455;0.04316399999999823;0.10879380253676443;1.6924075323409265e-14
