Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1596.0;3174.772426;0.0;0.0;1936.7074611208293;512.9;89.45590611989137;635.7090587592792;80.0;1470.522297401787;1704.417234269728
2022.0;1552.0;1552.0;0.0;0.0;2099.745626154663;736.8133509466753;100.11626020302269;552.0322238164678;80.7609697417598;1098.7353119471543;453.26460991479775
2023.0;1509.0;1509.0;0.0;0.0;2349.9705106374768;738.0523048496824;108.69601622894078;412.0267944385633;80.76096974175893;1087.9855363245383;421.0143855374136
2024.0;1412.0;1412.0;0.0;0.0;2607.329685923579;813.1936351723314;86.46771741607105;254.97947212549542;88.83710272797437;1071.732590796327;340.2673239234526
2025.0;1412.0;1412.0;0.0;0.0;2904.8678713898253;807.9538886554844;91.31764409010974;215.1902817881599;97.72085613828679;1074.7034862709997;337.2964206671704
2026.0;1295.0;1295.0;0.0;0.0;3134.384446832372;802.3031760361024;69.47411616495057;193.70613235640062;107.49299350486552;1047.1109813518815;247.8889170941945
2027.0;1233.0;1233.0;0.0;0.0;3334.678384712037;796.2092636120097;53.574660118633716;182.922138389691;118.24235505201561;1032.308757370196;200.69113179229947
2028.0;1141.0;1141.0;0.0;0.0;3486.5068771512597;789.6373893694362;33.534615069702205;165.99950312163872;130.0666653839709;994.0909226503065;146.90895635183355
2029.0;1049.0;1049.0;0.0;0.0;3635.556238157093;782.550064588976;14.757684295455991;102.64289010973438;143.07342208384117;954.2044388774344;94.79542898805617
2030.0;958.0;958.0;0.0;0.0;3717.7122236257424;774.9068599744525;5.33073891239783;95.60641564449999;157.38087306815558;903.777384952126;54.22247069210148
2031.0;866.0;866.0;0.0;0.0;3749.9251017416123;766.6641749629933;2.6449817922473233;64.4779651288891;173.11909174579338;829.1016627133541;36.89817950539091
2032.0;774.0;774.0;0.0;0.0;3703.55528664593;757.7749889217274;2.291445629140328;60.303380544813955;190.43115973507423;737.3854506042275;36.61437685276455
2033.0;682.0;682.0;0.0;0.0;3581.597849735752;748.1885928325125;1.7562942032616546;54.01254987440402;209.4744678635403;641.4482856223356;40.55152559072854
2034.0;591.0;591.0;0.0;0.0;3382.474427971531;737.8502999108325;0.9446107286619323;51.32851112472653;230.42214731731033;550.2597163612619;40.740076964485056
2035.0;499.0;499.0;0.0;0.0;3104.3363409871854;726.7011396995055;0.5778009919002484;49.859146292940025;253.4646358998105;458.97583818132136;40.023942274758596
2036.0;407.0;407.0;0.0;0.0;2743.1364195871042;714.6767104495914;0.5745730457585797;52.94863790473103;278.8127543424975;360.4275421224931;46.57217417264328
2037.0;315.0;315.0;0.0;0.0;2295.9942376416025;701.7101065647844;0.584236282720225;59.84783909799704;306.69415916217525;273.4065708144558;41.59313786448895
