scen_number;sensitivity;n_iter;CCGT_new;WindOffshore;SPP_coal;WindOnshore;Nuclear;Solar;OCGT;SMR;SMRCCS;Alkaline_base;Alkaline_peak_supported;Alkaline_base_supported;Alkaline_peak;Ind;Import
2;ref;100;2.409756577725478e-7;338826.361480348;60141.624415692255;2.4982214125478654e6;91882.67961569854;216949.32259577615;3.470331575536279e-10;2115.4620172608957;36177.01263261874;312.17611234072484;1.005903162352981e-10;5.359471362197664e-10;444.8757823584341;838995.9679845582;840.3088738312819
3;ref;100;3.1656062029880876e-7;389114.6206348156;60609.10569479145;2.6688293436821452e6;92052.4613532355;257579.23426124587;1.1543889144109529e-8;1271.4794423335225;17228.555323737495;336.44638862639033;32488.234496908794;24057.35022720616;371.93127223646025;837339.0528276522;719.2717384745778
4;ref;100;1.40875449414972e-7;389114.1109376807;60609.03359212815;2.668809418485256e6;92053.93516317788;257582.96077687954;1.1545074094849375e-8;1270.9241354594494;17228.724034365405;336.447819293854;32485.278430075297;24054.042157314343;371.93526843714005;837339.0393288856;719.288752783583
5;ref;100;1.1075966979894412e-6;389246.8866710076;60650.840905593104;2.6709321608815007e6;91687.41984108892;257503.2474413624;1.1818387083314648e-8;1260.434009417583;17276.57176098275;336.50917612406863;31068.57885757237;24052.59086784451;371.45022256825575;837353.4901675546;720.0199068089363
6;ref;100;2.5254625237350652e-8;389244.24308616336;60644.96188068284;2.670147526724835e6;91720.94840106253;257535.1878460073;1.1789240146023478e-8;1260.0007084685292;17271.893606114936;336.4850650751131;31476.207712750536;24053.633669286653;371.41977672897264;837352.2451915096;720.0019141691282
7;ref;100;4.3272519000620607e-10;388822.9576341437;60538.2266451697;2.666607079776382e6;92227.2261422632;258015.7367002342;9.415005600341833e-9;1273.899888489553;17177.646786415567;335.81539556359456;37181.19554182636;24343.030443237512;371.1513007258772;837326.5769134692;719.1538051193273
8;ref;100;5.882346678531736e-8;388798.9520227345;60530.638084806626;2.6667793035600046e6;92221.26325926083;258463.27574566257;9.961243714477695e-9;1274.2823599315109;17174.025279155227;335.7024135021414;38135.847288044555;24427.66078355268;371.43994488665845;837326.0846079116;719.1611057323644
9;ref;100;2.8269330198043466e-8;388927.39475942607;60525.34552454744;2.667542128219746e6;92105.8720153493;257785.45365239654;1.4010238424656965e-6;1274.8736978642908;17207.713712857243;335.4749620103739;31394.62425646705;24764.56139019329;371.42745160012464;837326.7545589918;719.2850475795706
10;ref;100;7.737222355511558e-8;389090.2791686307;60608.95691983598;2.669020084502672e6;92044.8602139944;257557.55455754066;1.15370317491631e-8;1270.8283906980475;17232.222502191173;336.4477025771601;32511.149525566612;24180.78228364297;371.8618132160264;837339.6834435243;719.0908119089255
2;ref;100;2.409756577725478e-7;338826.361480348;60141.624415692255;2.4982214125478654e6;91882.67961569854;216949.32259577615;3.470331575536279e-10;2115.4620172608957;36177.01263261874;312.17611234072484;1.005903162352981e-10;5.359471362197664e-10;444.8757823584341;838995.9679845582;840.3088738312819
3;ref;100;3.232288345347623e-7;389114.55281211383;60609.10024859082;2.6688299615765535e6;92052.4174917112;257579.13069844295;1.1543880575390259e-8;1271.7790822348506;17228.539550042788;336.44665099973065;32488.318166311983;24057.57277510807;371.93083276228333;837339.06158006;719.2732836437698
4;ref;100;33800.43158579734;416861.4294808651;58422.65189304946;2.6750026947564287e6;82447.66471261013;337410.9130161162;81584.02016236534;2596.2693243460917;22493.892555657105;4934.560152268637;91354.92699615318;121901.93284089527;10353.092092621928;839555.4749627934;754.2363426720598
5;ref;100;3.16202655319793e-8;353369.73982480395;60205.92342874467;2.483075216958917e6;92169.22248392658;327329.28559258464;3.447767160297094e-9;2768.7487080254537;23991.34321440954;435.2562870148942;2.145360123352863e6;2.6807624610283095e6;448.0895590742954;838260.3011966369;785.9495513357944
6;ref;100;1.319937974545937e-7;354531.55153006;60320.012430082665;2.485001116014295e6;92198.31990798355;336790.2175226557;1.0219403105151795e-8;2811.746200011815;23413.901471562196;473.8067973620115;1.445978685020681e7;2.559436988410053e7;494.19382570345084;838251.1454764097;785.746577341452
7;ref;100;2.5771400200110583e-9;401001.68336098874;62827.78512054603;2.66101451865931e6;86336.29443233964;303134.5207443957;45730.56972905071;5095.032051320081;22059.02570917444;1308.5187671489196;53030.41475993604;69452.3989810482;3629.7802079550147;838537.8338258853;683.5339784037811
8;ref;100;3.3122314888659294e-7;395444.8310873464;64630.129397878336;2.69716636921517e6;87940.67519268236;288952.4900580263;1.608167019781717e-7;3192.8260154275335;23298.620535084323;703.6804298812218;42571.53255068721;52268.181859729004;1360.8189738725505;839014.601213138;676.3979958820609
9;ref;100;4.882576435283557e-7;395890.14142321784;63512.75865913256;2.6685349132075515e6;89030.66538270008;275836.01361216995;1.1470019773974885e-8;2864.7445565741236;21716.510361443536;443.55688981583273;34361.73932505437;41875.236486044996;594.4924767748712;838969.2830409916;647.6818661228302
10;ref;100;4.2224359710068646e-7;389119.2590057015;60610.29166107619;2.6691479421579996e6;92031.19299512895;257491.71470765793;1.1509414458096055e-8;1281.2519438453114;17232.799283696022;335.7483429770606;32564.983098275803;24173.758044220434;370.796853580714;837340.6128918823;718.8689912717823
2;ref;3473;1.234301081631141e-7;11106.792001084003;67446.02827483785;3.1928334797608815e6;87314.34223439943;613724.7703386433;19045.675885308956;2.4141570884222312e-5;29206.579047247193;12684.512281583447;1990.8803097674001;2.733560155431896e-8;24093.84319915124;603065.4116947519;1019.1556051473071
1;low-natural-gas-price;3852;1.3542552106996625e-8;9.683783380622815e-6;23542.232014155958;3.1199195031716996e6;84680.80600717883;530206.945375159;29314.130375648198;0.005753697255742379;51237.24393720643;5035.616644939037;8.664154262795306e-10;2.6033719545343614e-8;12408.596152204564;623766.0642036397;437.89182646994124
1;low-natural-gas-price;1;8.229513088694577e-8;0.0002645742855083539;23542.232018292638;3.119929751985094e6;84682.40191797672;530211.434632658;29313.368908222827;1.0117866162754778e-7;51236.29430869545;5035.799935817986;8.683131083989511e-10;2.60469231326717e-8;12409.161839637603;623769.6066779514;437.8966848825285
2;low-natural-gas-price;1;1.7118781341708153e-7;1.095587667507994e-6;23542.232015507816;3.1199420537178493e6;84683.90382273031;530216.3010997298;29313.42827277888;0.008305221865893194;51236.62956761885;5035.998386355687;8.690321166960242e-10;2.605992905422245e-8;12409.696732707534;623767.8226124183;437.90131218130267
1;low-natural-gas-price;1;1.7118781341708153e-7;1.095587667507994e-6;23542.232015507816;3.1199420537178493e6;84683.90382273031;530216.3010997298;29313.42827277888;0.008305221865893194;51236.62956761885;5035.998386355687;8.690321166960242e-10;2.605992905422245e-8;12409.696732707534;623767.8226124183;437.90131218130267
2;low-natural-gas-price;1;1.8659749187409924e-7;7.27482656889128e-5;23542.23201470627;3.1199558912925613e6;84685.3336514116;530221.6472654834;29312.061094150988;1.206013615456141e-7;51236.384841030944;5036.178762885985;8.680348897095024e-10;2.6069273264188495e-8;12410.118104625806;623769.4771916034;437.904061918247
3;low-natural-gas-price;5000;5.374837930790426e-7;0.00022210684917662443;23542.232015548652;3.307619940065864e6;88106.32380723157;577576.1625527276;19036.38937407613;2.3014798311743832e-5;30582.335994298737;3114.2912474625505;33289.08644275467;27510.945423519646;6760.685536385678;609281.6294314836;376.45200189509296
10;low-natural-gas-price;2616;2.8882278928920945e-8;2.1201526360934106e-5;23542.232014564324;3.322194781479297e6;88429.39679861096;570117.6652895886;13503.555343009415;23.014989748335804;29416.963984270184;3387.5868372688815;33097.725776874046;25406.60550076322;6691.375661425396;609553.8457170974;382.78516140581723
