scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;Alpha;EUA_2022;CumulativeEmissions;TotalCost;PolicyCost;i
10;high-electrolysis-buildout;10000;1.541017;0.133435;0.000000;0.138980;0.002381;0.003945;0.000102;0.000000;0.246178;0.267871;0.002408;0.002684;0.000000;0.000000;1.253072;502.446121;81.432537;19265.903858;6010139.539578;0;114
10;ref;10000;1.072571;0.054165;0.000000;0.138854;0.011804;0.005387;0.000030;0.000000;0.100127;0.277197;0.018694;0.021125;0.000000;0.000000;1.253072;502.446121;79.563599;19265.716232;6015670.179715;0;113
6;expensive-base-PtH;6779;0.933077;0.120252;0.000000;0.057911;0.041788;0.025835;0.167066;0.000000;0.215807;0.047042;0.083281;0.028748;0.000000;0.000000;1.253072;502.446121;80.800558;19265.893612;6029924.463825;0;112
6;expensive-import;7589;0.952107;0.403214;0.000000;0.057937;0.005285;0.026968;0.107488;0.000000;0.663348;0.051976;0.007486;0.022829;0.000000;0.000000;1.253072;502.446121;83.931643;19266.185865;6111542.085912;0;111
6;high-electrolysis-buildout;6786;1.231280;0.147984;0.000000;0.057689;0.006776;0.022109;0.131829;0.000000;0.277604;0.054926;0.010814;0.018927;0.000000;0.000000;1.253072;502.446121;81.589985;19265.913030;6009820.281802;0;110
6;ref;7373;1.541683;0.061973;0.000000;0.057977;0.016341;0.019438;0.129394;0.000000;0.113060;0.048018;0.007934;0.019164;0.000000;0.000000;1.253072;502.446121;79.715520;19265.701225;6009064.815656;0;108
6;low-natural-gas-price;5878;1.000057;0.640336;0.000000;0.057953;0.010237;0.029643;0.256029;0.000000;0.440348;0.054974;0.010664;0.092504;0.000000;0.000000;1.253072;502.446121;90.060574;19266.423289;5948420.672197;0;107
5;expensive-base-PtH;5844;1.048913;0.053638;0.000000;0.046892;0.075423;0.029422;0.394293;0.000000;0.053863;0.057763;0.109088;0.016820;0.000000;0.000000;1.253072;502.446121;80.633555;19265.824441;6027497.602361;0;106
6;low-RES-buildout;6023;0.977046;1.364815;0.000000;0.057726;0.017759;0.044988;0.077431;0.000000;1.334956;0.053533;0.035617;0.060157;0.000000;0.000000;1.253072;502.446121;121.790513;19267.143175;6193354.284885;0;105
4;expensive-base-PtH;5641;0.950786;0.079756;0.000000;0.049235;0.089733;0.028778;0.001247;0.000000;0.153802;0.057490;0.119806;0.029815;0.000000;0.000000;1.253072;502.446121;80.483666;19265.847086;6029313.400993;0;103
3;expensive-base-PtH;5556;1.111504;0.155784;0.000000;0.051367;0.090933;0.028713;0.002469;0.000000;0.294657;0.057846;0.121964;0.024354;0.000000;0.000000;1.253072;502.446121;80.532676;19265.923759;6026467.619659;0;102
5;low-natural-gas-price;5046;1.193609;0.466800;0.000000;0.057052;0.012592;0.047869;0.575095;0.000000;0.443468;0.056770;0.016537;0.030001;0.000000;0.000000;1.253072;502.446121;89.764157;19266.243547;5952264.092002;0;101
7;expensive-base-PtH;5282;0.703735;0.044966;0.000000;0.056037;0.133862;0.045253;0.004209;0.000000;0.045438;0.057815;0.133633;0.025745;0.000000;0.000000;1.253072;502.446121;81.251563;19265.817729;6030123.537310;0;100
10;expensive-base-PtH;5370;0.994452;0.070922;0.000000;0.057393;0.123769;0.042062;0.000596;0.000000;0.131010;0.057992;0.128539;0.021414;0.000000;0.000000;1.253072;502.446121;80.691907;19265.844337;6032426.182872;0;99
8;expensive-base-PtH;5121;0.648081;0.108227;0.000000;0.057858;0.167342;0.050477;0.003826;0.000000;0.097307;0.052032;0.139503;0.028239;0.000000;0.000000;1.253072;502.446121;80.873993;19265.871598;6025105.034582;0;98
7;low-RES-buildout;5000;0.527976;1.368832;0.000000;0.057804;0.025138;0.033328;0.009869;0.000000;0.689905;0.055812;0.038450;0.046802;0.000000;0.000000;1.253072;502.446121;121.994703;19267.141353;6196802.357273;0;97
6;expensive-peak-PtH;5407;1.059207;0.019396;0.000000;0.057944;0.062615;0.033829;0.183129;0.000000;0.031147;0.055672;0.124298;0.035565;0.000000;0.000000;1.253072;502.446121;79.939588;19265.753134;6012007.039586;0;96
9;low-RES-buildout;4915;0.862757;1.358988;0.000000;0.057695;0.018316;0.038896;0.001472;0.000000;0.965946;0.049546;0.028302;0.028837;0.000000;0.000000;1.253072;502.446121;121.620780;19267.125336;6192657.588483;0;95
5;expensive-peak-PtH;4899;0.995252;0.123838;0.000000;0.057889;0.180388;0.031570;0.407131;0.000000;0.076659;0.042779;0.138168;0.017589;0.000000;0.000000;1.253072;502.446121;79.801856;19265.659413;6018954.460313;0;94
6;no-buildout-limits;5545;0.941698;0.502123;0.000000;0.057407;0.022252;0.032687;0.172525;0.000000;0.263919;0.056964;0.014696;0.024872;0.000000;0.000000;1.253072;502.446121;74.608947;19265.276418;5995348.679324;0;93
9;expensive-base-PtH;4682;0.552878;0.070390;0.000000;0.055797;0.152173;0.042771;0.003089;0.000000;0.108927;0.057955;0.194708;0.049031;0.000000;0.000000;1.253072;502.446121;80.831591;19265.839375;6022686.093581;0;92
3;low-RES-buildout;5017;0.761683;1.636886;0.000000;0.057577;0.018452;0.055804;0.002711;0.000000;1.022643;0.056784;0.028327;0.029322;0.000000;0.000000;1.253072;502.446121;121.471614;19267.381012;6193239.354582;0;91
5;high-electrolysis-buildout;4643;0.662536;0.222132;0.000000;0.057920;0.019920;0.029858;0.293385;0.000000;0.406923;0.047833;0.021150;0.023840;0.000000;0.000000;1.253072;502.446121;81.480915;19265.988366;6008967.734509;0;90
8;low-RES-buildout;4533;0.631334;1.652495;0.000000;0.057907;0.039073;0.032134;0.020756;0.000000;0.953658;0.053633;0.039389;0.022306;0.000000;0.000000;1.253072;502.446121;121.818101;19267.432508;6196492.029579;0;89
5;low-RES-buildout;4475;0.577203;1.812185;0.000000;0.057974;0.025364;0.033916;0.241871;0.000000;2.084785;0.057423;0.042329;0.019112;0.000000;0.000000;1.253072;502.446121;121.633456;19267.579180;6193447.618562;0;88
10;low-RES-buildout;4237;0.863609;1.820610;0.000000;0.057825;0.037347;0.024481;0.002105;0.000000;1.027061;0.050932;0.043201;0.013359;0.000000;0.000000;1.253072;502.446121;126.094400;19267.583028;6226777.424554;0;87
10;low-natural-gas-price;4496;0.723441;0.426067;0.000000;0.057950;0.025307;0.019348;0.000235;0.000000;0.631658;0.035513;0.021254;0.010637;0.000000;0.000000;1.253072;502.446121;89.803934;19266.195661;5955171.403343;0;86
4;low-RES-buildout;4687;0.737087;1.350692;0.000000;0.057987;0.015737;0.029972;0.000926;0.000000;0.737306;0.042012;0.020048;0.016775;0.000000;0.000000;1.253072;502.446121;121.357607;19267.129336;6198028.392613;0;85
5;expensive-import;4515;0.721653;0.361144;0.000000;0.057601;0.019558;0.023488;0.262126;0.000000;0.638744;0.050016;0.036026;0.022503;0.000000;0.000000;1.253072;502.446121;83.875438;19266.131537;6111749.160652;0;83
5;ref;4487;0.654811;0.118583;0.000000;0.057949;0.030555;0.023508;0.323709;0.000000;0.213875;0.048546;0.032254;0.013283;0.000000;0.000000;1.253072;502.446121;79.599005;19265.612163;6009218.133298;0;82
2;expensive-base-PtH;4382;0.684407;0.122013;0.000000;0.056015;0.149423;0.044544;0.000000;0.000000;0.226175;0.056709;0.179730;0.037521;0.000000;0.000000;1.253072;502.446121;80.909450;19265.875456;5999102.503761;0;81
10;expensive-peak-PtH;4472;0.913351;0.047918;0.000000;0.057987;0.325136;0.040727;0.001686;0.000000;0.052637;0.038477;0.168716;0.031257;0.000000;0.000000;1.253072;502.446121;79.761374;19265.714722;6028646.981572;0;80
10;expensive-import;4066;0.815112;0.472270;0.000000;0.057934;0.029316;0.035089;0.000460;0.000000;0.867900;0.046778;0.041077;0.017598;0.000000;0.000000;1.253072;502.446121;83.811314;19266.240171;6113635.557477;0;79
5;no-buildout-limits;4623;0.867483;0.505353;0.000000;0.057986;0.034606;0.021680;0.336898;0.000000;0.573046;0.056593;0.030090;0.048101;0.000000;0.000000;1.253072;502.446121;74.577379;19265.260418;5995993.720404;0;78
2;low-natural-gas-price;3892;1.529870;0.636913;0.000000;0.057974;0.069751;0.030565;0.000000;0.000000;0.674959;0.051926;0.103396;0.017524;0.000000;0.000000;1.253072;502.446121;93.314924;19266.412578;5925372.878666;0;77
2;low-RES-buildout;3865;0.641121;2.023193;0.000000;0.057325;0.046914;0.017370;0.000000;0.000000;1.034954;0.054585;0.088894;0.017708;0.000000;0.000000;1.253072;502.446121;122.314768;19267.797930;6194946.001457;0;76
2;extreme-high-RES-buildout;3767;0.672396;0.793025;0.000000;0.057962;0.048591;0.020448;0.000000;0.000000;1.200465;0.044496;0.091354;0.012066;0.000000;0.000000;1.253072;502.446121;61.771496;19264.973007;5899693.360927;0;75
10;no-buildout-limits;3842;0.674200;0.680066;0.000000;0.057981;0.034072;0.020378;0.000609;0.000000;0.467429;0.048420;0.055751;0.012614;0.000000;0.000000;1.253072;502.446121;74.515397;19265.095606;5999759.296835;0;74
2;ref;1;0.162067;0.023374;0.000000;0.057878;0.025802;0.010576;0.000000;0.000000;0.046135;0.045689;0.043268;0.015247;0.000000;0.000000;1.253072;502.446121;80.082368;19265.679780;5999717.620000;0;73
7;high-electrolysis-buildout;7192;1.063083;0.179723;0.000000;0.057983;0.011635;0.025014;0.003526;0.000000;0.213106;0.043273;0.015453;0.016295;0.000000;0.000000;1.253072;502.446121;81.930557;19265.943090;6013475.670000;0;72
7;low-natural-gas-price;4865;0.695215;0.388073;0.000000;0.057973;0.015771;0.023006;0.003229;0.000000;0.402293;0.053536;0.015785;0.011819;0.000000;0.000000;1.253072;502.446121;90.802245;19266.161250;5958519.020000;0;71
4;high-electrolysis-buildout;4795;1.022083;0.113386;0.000000;0.057937;0.013340;0.017464;0.001615;0.000000;0.148239;0.046256;0.020679;0.011792;0.000000;0.000000;1.253072;502.446121;81.218858;19265.875010;6009887.670000;0;67
3;low-natural-gas-price;4541;0.984562;0.480797;0.000000;0.057910;0.027435;0.028102;0.004749;0.000000;0.436459;0.052146;0.020224;0.016456;0.000000;0.000000;1.253072;502.446121;89.142988;19266.251600;5947867.170000;0;65
8;low-natural-gas-price;4382;0.783574;0.370460;0.000000;0.057452;0.043342;0.025680;0.005270;0.000000;0.505590;0.045707;0.024407;0.033379;0.000000;0.000000;1.253072;502.446121;89.376546;19266.143650;5949094.460000;0;64
4;expensive-import;5316;0.585309;0.559180;0.000000;0.057973;0.015957;0.021667;0.001281;0.000000;0.507568;0.049412;0.011161;0.013474;0.000000;0.000000;1.253072;502.446121;83.728043;19266.327510;6113433.950000;0;58
9;low-natural-gas-price;4558;0.603925;0.528655;0.000000;0.057967;0.028862;0.030876;0.004708;0.000000;0.402445;0.043973;0.020076;0.030097;0.000000;0.000000;1.253072;502.446121;89.141016;19266.303460;5947722.680000;0;55
9;high-electrolysis-buildout;4374;0.694899;0.138306;0.000000;0.057682;0.027757;0.019306;0.005624;0.000000;0.180236;0.054801;0.038921;0.038523;0.000000;0.000000;1.253072;502.446121;81.351471;19265.904360;6009093.770000;0;54
3;high-electrolysis-buildout;4432;0.633404;0.157786;0.000000;0.055873;0.018292;0.028733;0.005999;0.000000;0.091630;0.054360;0.030934;0.037003;0.000000;0.000000;1.253072;502.446121;81.272594;19265.921450;6009269.660000;0;53
8;high-electrolysis-buildout;4317;0.569284;0.152333;0.000000;0.057937;0.036232;0.024006;0.004133;0.000000;0.118969;0.057977;0.043601;0.015389;0.000000;0.000000;1.253072;502.446121;81.635832;19265.920870;6009685.050000;0;52
4;low-natural-gas-price;4358;0.670680;0.326347;0.000000;0.057886;0.019855;0.041385;0.002972;0.000000;0.521807;0.055999;0.030983;0.050780;0.000000;0.000000;1.253072;502.446121;89.088624;19266.095900;5949124.750000;0;51
3;expensive-import;4509;1.034780;0.467967;0.000000;0.057858;0.016854;0.023244;0.002540;0.000000;0.522937;0.041021;0.028197;0.060297;0.000000;0.000000;1.253072;502.446121;83.776380;19266.236870;6113888.550000;0;50
7;expensive-peak-PtH;4324;0.771476;0.080350;0.000000;0.057972;0.055637;0.033297;0.003485;0.000000;0.120321;0.051039;0.095526;0.021642;0.000000;0.000000;1.253072;502.446121;80.154981;19265.850580;6017094.620000;0;46
4;expensive-peak-PtH;4188;0.650137;0.145058;0.000000;0.057962;0.057938;0.027717;0.002576;0.000000;0.136770;0.056495;0.107884;0.031043;0.000000;0.000000;1.253072;502.446121;79.454229;19265.626430;6010749.480000;0;45
3;expensive-peak-PtH;4214;0.599997;0.060286;0.000000;0.057980;0.057175;0.042726;0.004164;0.000000;0.034660;0.054353;0.111462;0.023309;0.000000;0.000000;1.253072;502.446121;79.514523;19265.708070;6009784.960000;0;42
9;expensive-import;4065;0.481977;0.442613;0.000000;0.057888;0.025362;0.021576;0.003524;0.000000;0.617984;0.047220;0.041554;0.016816;0.000000;0.000000;1.253072;502.446121;83.926421;19266.210520;6109825.350000;0;41
8;expensive-peak-PtH;4307;0.775644;0.042653;0.000000;0.056952;0.062350;0.027965;0.002134;0.000000;0.072842;0.045817;0.093138;0.025630;0.000000;0.000000;1.253072;502.446121;79.900408;19265.725840;6010791.090000;0;38
8;extreme-electrolysis-buildout;4547;0.432526;0.151659;0.000000;0.057937;0.031826;0.020841;0.001857;0.000000;0.245294;0.055713;0.037950;0.010298;0.000000;0.000000;1.253072;502.446121;77.380543;19265.615390;6010792.670000;0;37
8;no-buildout-limits;4337;0.815499;0.219603;0.000000;0.057922;0.030209;0.023641;0.002842;0.000000;0.297490;0.050672;0.029090;0.015000;0.000000;0.000000;1.253072;502.446121;74.949853;19265.548120;5998560.360000;0;36
8;expensive-import;3867;0.549300;0.466737;0.000000;0.057972;0.038441;0.034958;0.001918;0.000000;0.872839;0.057083;0.068223;0.022755;0.000000;0.000000;1.253072;502.446121;84.140907;19266.229920;6110630.300000;0;35
5;extreme-electrolysis-buildout;4210;0.663439;0.363061;0.000000;0.057983;0.046957;0.024322;0.396219;0.000000;0.604871;0.056513;0.047403;0.025647;0.000000;0.000000;1.253072;502.446121;77.339755;19265.399930;6014515.690000;0;34
6;extreme-electrolysis-buildout;4204;0.518788;0.121919;0.000000;0.057977;0.033307;0.019894;0.258256;0.000000;0.069334;0.052910;0.054818;0.021621;0.000000;0.000000;1.253072;502.446121;77.450661;19265.649100;6009878.810000;0;33
9;expensive-peak-PtH;4293;0.650441;0.084450;0.000000;0.057966;0.060202;0.040372;0.003625;0.000000;0.045342;0.052608;0.107768;0.027860;0.000000;0.000000;1.253072;502.446121;79.535779;19265.681580;6009408.770000;0;32
4;extreme-electrolysis-buildout;4380;0.567627;0.392258;0.000000;0.057503;0.044081;0.018064;0.003012;0.000000;0.387274;0.057494;0.037035;0.024314;0.000000;0.000000;1.253072;502.446121;77.388241;19265.364170;6014632.870000;0;31
2;high-electrolysis-buildout;3712;0.740158;0.302689;0.000000;0.057935;0.026556;0.012667;0.000000;0.000000;0.557009;0.057536;0.046727;0.016417;0.000000;0.000000;1.253072;502.446121;82.442403;19266.063810;5999817.610000;0;30
2;expensive-peak-PtH;4045;0.372323;0.118201;0.000000;0.052711;0.072483;0.040310;0.000000;0.000000;0.216218;0.057090;0.134289;0.040357;0.000000;0.000000;1.253072;502.446121;80.445437;19265.875880;5999705.180000;0;29
9;extreme-electrolysis-buildout;3974;0.488711;0.427681;0.000000;0.057524;0.047788;0.020262;0.004991;0.000000;0.384102;0.051206;0.059737;0.012404;0.000000;0.000000;1.253072;502.446121;77.410273;19265.332580;6013349.610000;0;28
7;expensive-import;3736;0.582423;0.505584;0.000000;0.057704;0.032380;0.031827;0.001252;0.000000;0.662890;0.055938;0.047070;0.015401;0.000000;0.000000;1.253072;502.446121;84.486470;19266.269380;6116818.250000;0;22
3;extreme-electrolysis-buildout;4029;0.564587;0.354604;0.000000;0.057991;0.036986;0.034687;0.004113;0.000000;0.538475;0.041580;0.051567;0.019721;0.000000;0.000000;1.253072;502.446121;77.403511;19265.400720;6013951.980000;0;21
7;no-buildout-limits;4017;0.435990;0.322296;0.000000;0.057989;0.035098;0.019238;0.003216;0.000000;0.169245;0.032393;0.045162;0.013880;0.000000;0.000000;1.253072;502.446121;75.396441;19265.446190;6003079.350000;0;20
9;no-buildout-limits;3976;0.838199;0.559738;0.000000;0.057945;0.044918;0.022778;0.005782;0.000000;0.480795;0.050429;0.072212;0.013891;0.000000;0.000000;1.253072;502.446121;74.539316;19265.207720;5994928.820000;0;18
4;no-buildout-limits;3830;0.606464;0.525184;0.000000;0.057881;0.037296;0.015391;0.003676;0.000000;0.279769;0.043145;0.070523;0.024138;0.000000;0.000000;1.253072;502.446121;74.364833;19265.237700;5994568.240000;0;17
2;expensive-import;3474;0.721505;0.579898;0.000000;0.057993;0.041362;0.016551;0.000000;0.000000;0.984995;0.038208;0.079397;0.015672;0.000000;0.000000;1.253072;502.446121;84.252198;19266.348670;6104128.140000;0;16
3;no-buildout-limits;3981;0.851080;0.569525;0.000000;0.056624;0.075548;0.027834;0.005653;0.000000;0.532089;0.055443;0.053737;0.018434;0.000000;0.000000;1.253072;502.446121;74.444547;19265.194350;5996261.110000;0;15
2;extreme-electrolysis-buildout;3482;0.811389;0.083205;0.000000;0.057937;0.039674;0.012942;0.000000;0.000000;0.107322;0.052284;0.075007;0.016702;0.000000;0.000000;1.253072;502.446121;77.195332;19265.689940;5998911.200000;0;14
2;no-buildout-limits;3544;0.391341;0.624315;0.000000;0.057815;0.038517;0.015131;0.000000;0.000000;0.323741;0.055239;0.070761;0.013347;0.000000;0.000000;1.253072;502.446121;74.464310;19265.135310;5984837.450000;0;13
2;cheap-import;1;0.139893;0.372077;0.000000;0.057977;0.025152;0.017031;0.000000;0.000000;0.324220;0.031574;0.035887;0.021314;0.000000;0.000000;1.253072;502.446121;79.311413;19265.090540;5936331.040000;0;10
7;ref;3485;0.687329;0.055557;0.000000;0.057657;0.007521;0.017129;0.003667;0.000000;0.085107;0.032381;0.008888;0.008533;0.000000;0.000000;1.253072;502.446121;80.305882;19265.828320;6021152.980000;0;8
4;ref;2974;0.458000;0.131322;0.000000;0.057896;0.013403;0.038431;0.002935;0.000000;0.157145;0.054514;0.018949;0.039476;0.000000;0.000000;1.253072;502.446121;79.457282;19265.638200;6013267.220000;0;7
3;ref;2927;0.482503;0.154568;0.000000;0.057304;0.020040;0.045768;0.015449;0.000000;0.107159;0.054371;0.019563;0.078409;0.000000;0.000000;1.253072;502.446121;79.473152;19265.598490;6013552.850000;0;5
9;ref;2272;0.346229;0.138867;0.000000;0.057958;0.026636;0.055887;0.023099;0.000000;0.112211;0.057281;0.021323;0.095881;0.000000;0.000000;1.253072;502.446121;79.477956;19265.627180;6013722.670000;0;3
8;ref;1819;0.311335;0.095852;0.000000;0.057967;0.040424;0.048707;0.017206;0.000000;0.069159;0.045059;0.056193;0.034681;0.000000;0.000000;1.253072;502.446121;79.752883;19265.689560;6015914.740000;0;2
1;ref;3782;3.997754;0.023778;0.000000;0.057915;0.025811;0.010617;0.000000;0.000000;0.046135;0.045689;0.043268;0.015247;0.000000;0.000000;1.253072;502.446121;80.082462;19265.677750;6000000.000000;1;1
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
