Parameter;Scaling;remarks
NG SF;0.5;low_natural_gas_price
NG SF;2;high_natural_gas_price
HydrogenSector Alkaline_base-Alkaline_peak OC; 1.2; Expensive_PtH
HydrogenSector Alkaline_base-Alkaline_peak OC; 0.8; Cheap_PtH
scenario RES_target_2030;2;2030_res_target 80
EOM SF;0.5;low_demand_growth
EOM SF;2;high_demand_growth
HydrogenImport Import a_1; 0.5; cheap_import
HydrogenImport Import a_1; 2; expensive_import
HydrogenSector Alkaline_base-Alkaline_peak max_YoY_new_cap;0.8;high_electrolysis_buildout
HydrogenSector Alkaline_base-Alkaline_peak max_YoY_new_cap;1.2;extreme_electrolysis_buildout
scenario RES_target_2030;1.5;2030 res target 60
PowerSector Solar-WindOnshore-WindOffshore YoY_OC;0.5;Expensive RES
PowerSector Solar-WindOnshore-WindOffshore YoY_OC;2;Cheap RES
EOM SF;0.5;low demand growth
EOM SF;2;high demand growth
General discount_rate;0.8;Low discount rate
General discount_rate;1.2;High discount rate
PowerSector Nuclear-Biomass max_YoY_new_cap;0;No new nuclear-biomass
PowerSector Solar-WindOnshore-WindOffshore max_YoY_new_cap;0.5;Low RES buildout
PowerSector Solar-WindOnshore-WindOffshore max_YoY_new_cap;2;High RES buildout
HydrogenSector SMRCCS YoY_OC;0.5;cheap SMR+CCS
HydrogenSector SMRCCS YoY_OC;2;expensive SMR+CCS
